Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),05/05/2005,08/01/2005,10/31/2005,02/13/2006,05/05/2006,08/01/2006,10/31/2006,02/13/2007,05/05/2007,08/01/2007,10/31/2007,02/13/2008,05/05/2008,08/01/2008,11/12/2008,02/13/2009,05/05/2009,08/01/2009,10/28/2009,02/13/2010,04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract Bold Color,Totals Segment, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Total Payable Metals Produced, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Total Gold Oz Produced,"55,310","61,771","61,704","63,022","64,235","55,966","59,603","66,022","58,588","56,392","55,830","60,182","50,892","59,452","68,753","89,360","91,812","119,053","118,763","163,276","188,232","257,728","285,178","256,469","252,362","239,328","265,978","227,792","254,955","265,350","286,971","236,535","236,975","224,089","315,828","322,443","366,421","326,059","349,273","387,538","404,210","403,678","441,124","422,328","411,336","408,932","416,187","426,433","418,216","427,743","454,362","413,212","389,278","404,961","421,718","410,712","398,217","412,315","476,937","494,678","411,366","331,064","492,693","501,445","516,804","526,006","541,663","501,932","660,604","858,170","816,795","799,438","812,813","873,204","850,429","903,208","878,652","895,838","863,445"
,Thousand,,Total Silver Oz Produced (Thousands),"1,097","1,205","1,295","1,234","1,227","1,247","1,233","1,249","1,397","1,135","1,222","1,166","1,026",956,"1,167",930,"1,029","1,034","1,011",960,"1,099","1,120","1,388","1,700","1,099","1,201","1,469","1,311","1,215","1,095","1,140","1,196","1,251","1,066","1,213","1,093",880,861,820,"1,000","1,032","1,015","1,053","1,158","1,125","1,210","1,187","1,239","1,198","1,285","1,268","1,265","1,213","1,056","1,144","1,111","1,079","1,132","1,048","1,051","1,106",599,898,762,747,653,594,613,609,588,553,542,545,619,589,655,615,628,602
,Actual,,Total Zinc Produced,"18,661","20,116","20,233","17,535","18,462","20,787","22,068","20,866","17,944","17,462","18,609","17,562","19,467","13,863","18,040","14,383","13,291","14,928","12,516","15,450","14,224","18,465","14,915","14,939","11,941","14,678","15,684","12,591","12,978","9,558","7,379","8,722","8,239","3,455","3,648","4,472","2,060","3,793","2,230","2,431",936,827,739,999,614,"1,318","1,010","1,745","1,005","1,724","1,771","2,010","1,046","2,778",872,"3,168","2,834","4,407","3,475","2,445",510,567,"2,198","2,984","1,867","2,736","2,826","1,408","1,069","2,568","2,108","2,450","2,287","2,611","1,420","1,384","1,682","1,883",914
,Actual,,Total Copper Produced,"1,810","1,680","1,921","1,967","2,053","1,590","1,884","1,762","1,990","1,689","1,647","2,156","1,453","2,165","1,567","1,737","1,682","2,066","1,400","1,523","1,052","1,056","1,181",935,817,666,731,"1,002","1,326","1,004",982,814,"1,082","1,280","1,241","1,232","1,554","1,058",989,"1,395","1,167","1,133","1,306","1,335","1,154","1,141","1,177",944,"1,272",907,"1,056","1,266","1,292",961,"1,026",914,808,702,958,929,749,656,723,941,752,779,825,599,769,778,653,701,530,746,659,682,804,"1,072",797
,,Abstract Bold,Total Payable metals Sold, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Total Gold Oz Sold,"70,137","60,550","64,852","66,890","69,677","60,966","57,326","68,993","56,758","57,366","55,797","58,917","51,596","56,650","62,377","87,979","84,417","103,056","118,740","158,734","176,038","251,298","278,851","266,868","253,240","237,310","257,522","248,018","242,628","261,827","284,999","238,372","232,989","230,029","308,843","326,521","357,759","323,424","348,570","395,848","385,100","405,972","436,860","417,149","395,681","404,533","434,838","395,813","424,829","419,873","432,076","416,996","405,125","403,686","408,976","411,998","390,970","376,125","471,161","491,433","410,883","315,014","510,295","488,346","513,286","521,743","533,437","512,165","692,922","836,523","830,246","788,902","787,558","858,848","843,097","874,629","879,063","874,230","855,899"
,Thousand,,Total Silver Oz Sold (Thousands),"1,398","1,121","1,092","1,610","1,190","1,185","1,137","1,227","1,624","1,153","1,192","1,214","1,018",955,"1,085",965,"1,012","1,012","1,009",839,996,"1,165","1,314","1,248","1,109","1,168","1,383","1,429","1,229","1,031","1,128","1,167","1,192","1,166","1,215","1,121",917,844,829,"1,043",888,"1,106","1,036","1,153","1,016","1,231","1,310","1,204","1,217","1,219","1,103","1,313","1,255","1,061","1,129","1,099","1,065","1,059","1,092","1,058","1,166",629,876,810,728,682,619,580,612,559,598,585,552,597,571,634,604,637,573
,Actual,,Total Zinc Sold,"37,454","44,371","46,656","17,444","18,178","20,621","20,541","22,348","17,767","16,460","19,487","19,191","18,710","15,260","16,541","12,142","17,057","12,804","14,579","13,951","14,529","15,437","14,388","15,212","8,302","16,649","18,032","11,516","13,032","10,379","10,120","9,073","6,999","5,280","3,030","5,123","1,673","2,458","3,936","2,467","1,264",733,650,949,605,673,"1,374",902,"2,136","1,645","1,314","1,221","2,530","2,979","1,118","1,896","1,586","4,999","4,075","1,632","1,658",175,"1,570","1,607","2,660","2,875","2,744","2,524","1,034","1,679","2,099","1,915","2,131","2,743","2,108","1,544","1,507","1,547","1,748"
,Actual,,Total Copper Sold,"6,216","3,558","4,637","1,984","2,038","1,616","1,880","1,769","1,978","1,988","1,644","2,157","1,421","2,108","1,421","1,943","1,686","2,066","1,405","1,532","1,047","1,043","1,193",941,820,658,738,978,"1,293","1,085",937,800,"1,067","1,291","1,253","1,227","1,542","1,074",988,"1,399","1,160","1,131","1,302","1,354","1,156","1,164","1,201","1,001","1,229",885,"1,157","1,328","1,288",945,"1,036",926,764,734,947,945,754,628,739,941,754,778,833,608,766,783,647,720,568,713,657,692,762,"1,113",806
,,Abstract Bold Color,Realized Prices, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Gold price per ounce,430,427,432,491,611,687,600,594,669,683,748,895,"1,089",804,903,789,969,962,939,"1,153","1,111","1,222","1,235","1,387","1,400","1,530","1,717","1,640","1,684","1,602","1,695","1,684","1,611","1,336","1,333","1,244","1,308","1,291","1,249","1,202","1,202","1,196","1,119","1,094","1,192","1,268","1,332","1,196","1,223","1,260","1,282","1,279","1,332","1,293","1,204","1,235","1,303","1,318","1,480","1,489","1,579","1,726","1,911","1,876","1,780","1,814","1,787","1,795","1,880","1,866","1,726","1,728","1,892","1,975","1,928","1,982","2,062","2,342","2,492"
$,Actual,,Silver price per ounce,7.00,7.00,7.00,9.00,11.00,13.00,12.00,13.00,14.00,13.00,13.00,14.00,20.00,17.00,14.00,9.00,14.00,14.00,16.00,19.17,17.87,19.29,20.53,31.96,36.10,38.53,37.37,26.83,34.46,26.33,33.91,31.25,28.70,19.00,21.84,20.20,20.62,19.45,17.72,15.60,17.02,16.41,14.93,14.56,15.09,17.21,19.52,16.76,17.62,17.03,16.92,16.72,16.76,16.43,14.20,14.53,15.65,14.83,17.46,17.55,15.74,16.91,25.35,24.49,26.13,27.01,23.54,23.08,24.11,22.21,18.67,21.51,22.95,24.43,23.55,23.88,24.16,30.09,30.69
$,Actual,,Zinc price per tonne,"1,323","1,279","1,345","1,818","2,640","3,786","3,525","4,640","2,798","3,950","2,838","2,313","2,530","1,728","1,667",663,"1,213","1,698","1,932","2,506","2,235","1,890","2,151","2,391","2,509","2,257","2,166","2,188","2,125","1,901","1,836","1,906","2,002","1,753","1,874","1,958","2,027","2,142","2,365","2,216","2,072","2,231","1,909","1,602","1,540","1,852","2,170","2,346","2,782","2,642","2,780","3,215","3,439","3,144","2,615","2,568","2,673","2,811","2,415","2,398","2,217","1,920","2,303","2,664","2,743","2,843","2,967","3,258","3,480","3,947","3,435","2,979","3,169","2,343","2,360","2,503","2,453","2,792","2,822"
$,Actual,,Copper price per tonne,"3,241","3,417","4,144","4,882","5,812","14,901","6,843","6,059","6,090","7,008","7,910","6,134","10,559","8,534","6,732",-374,"4,110","5,832","7,580","7,469","7,288","6,581","8,689","10,311","10,027","8,565","8,561","8,510","9,006","6,455","9,046","7,668","7,570","6,551","7,330","7,275","6,386","6,893","7,500","5,961","5,056","6,274","4,538","4,568","4,297","4,714","4,819","5,578","6,277","5,660","6,412","6,806","7,201","6,760","5,900","6,126","6,087","6,036","5,569","5,948","5,410","5,074","6,972","7,298","8,958","10,902","9,031","10,120","10,243","8,953","5,674","8,206","10,113","7,898","8,223","7,998","8,731","9,192","8,254"
,,Abstract Bold Color,Total Cash Costs (US$/oz), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,LaRonde,67,103,33,-22,-241,-975,-709,-868,-332,-699,-307,-184,-399,113,135,545,294,109,60,-84,167,270,-298,-250,-12,231,-270,375,216,784,564,756,718,927,746,664,603,691,861,590,703,613,558,510,529,543,541,405,464,482,328,386,427,395,514,441,488,506,454,422,696,457,428,372,490,437,390,627,478,566,773,741,892,787,875,814,"1,028",747,"1,078"
$,Actual,,LaRonde Zone 5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,897,641,674,780,653,771,845,733,681,776,761,814,794,793,973,982,973,"1,164","1,154","1,198","1,287",965,"1,180","1,030","1,285"
$,Actual,,Goldex, ,,,,,,,,,,,,,,620,323,338,365,440,338,375,325,288,370,431,385,411,344,,,,,,,,782,707,654,582,583,541,633,479,513,506,513,483,657,532,603,598,719,674,680,611,624,558,589,549,640,569,727,702,591,623,683,762,679,777,718,804,765,810,776,822,877,948,864,"1,031"
$,Actual,,Lapa, ,,,,,,,,,,,,,,,,,948,784,608,489,545,509,564,630,599,657,723,664,634,760,742,680,720,662,655,666,847,606,607,568,678,522,620,668,658,743,935,854,712,706, -   ,"1,056",795,"1,061",713, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Actual,,Kittila, ,,,,,,,,,,,,,,,,,658,"1,080",464,735,607,519,832,687,850,694,751,565,681,478,569,624,,518,687,795,862,951,809,681,776,639,747,726,756,663,664,668,802,753,796,882,945,813,787,775,619,725,756,810,717,813,908,798,913,826,812,"1,039",828,843,"1,330",806,899,930,858,"1,070","1,020","1,010"
$,Actual,,Pinos Altos, ,,,,,,,,,,,,,,,,,,,596,436,415,690,365,312,299,295,292,278,358,212,295,300,496,428,422,450,481,545,597,357,384,392,417,343,348,343,390,358,373,376,485,539,608,533,518,494,597,745,758,747,862,677,767,838,849,854,888,"1,078","1,383","1,295","1,255","1,116","1,282","1,310","1,210","1,348","1,414","1,531"
$,Actual,,Creston Mascota, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,616,556,556,444,402,436,445,460,469,493,649,525,550,632,591,738,978,996,736,525,320,668,"1,073",423,694,771,928,193,341,486,796,407,899,"1,188","1,030", -   , -   , -   , -   , -   , -   , -   
$,Actual,,Meadowbank, ,,,,,,,,,,,,,,,,,,,,840,663,671,745,943,910,"1,033","1,088","1,020",804,734,"1,200","1,069",912,623,637,434,577,777,757,655,688,598,526,788,789,746,579,590,559,661,653,923,920,694,734,910,"1,066","1,035","1,405","1,644","2,260","1,260","1,142","1,123","1,077","1,214","1,434","1,811",993,930,"1,418","1,134","1,156","1,225","1,186",937,922,910
$,Actual,,Meliadine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,746,712,799,"1,051",695,652,628,616,634,656,"1,002",837,777,855,937,"1,019",971,992,942,892,889
$,Actual,,Hope Bay, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,915,"1,333","1,829", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Actual,,La India, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,457,547,496,418,410,436,485,360,381,400,437,438,552,657,678,668,691,685,694,766,780,872,892,778,833,740,813,936,"1,350",971,840,820,936,"1,196","1,369","1,308","1,385","1,156","1,149","1,453","2,172","2,872"
$,Actual,,Canadian Malartic complex, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,735,684,632,609,544,606,557,621,613,634,556,540,577,628,566,537,572,562,572,607,615,630,734,762,772,656,617,657,705,676,792,753,820,789,794,772,805,913,850,871,"1,025"
$,Actual,,Detour Lake, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,640,691,674,771,731,755,691,871,791,779
$,Actual,,Macassa, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,582,689,758,604,747,841,763,711,833,750
$,Actual,,Fosterville, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,351,435,414,396,436,495,723,537,608,651
$,Actual,Bold,Weighted Avg. Total Cash Costs (US$/oz),67,103,33,-22,-241,-975,-709,-868,-332,-699,-307,-184,-399,113,240,463,312,326,436,295,441,487,441,462,531,565,563,671,594,660,556,769,740,785,591,623,537,626,716,662,588,601,536,547,573,592,575,552,539,556,546,592,648,656,637,608,623,652,653,745,839,825,764,701,734,748,784,814,811,726,779,863,832,840,898,888,901,870,921
$,Thousand,Bold,Total Amortization,"7,211","5,983","6,276","6,592","5,997","6,108","6,119","7,031","6,928","7,094","7,578","6,157","7,030","7,516","8,582","12,407","12,130","15,470","23,200","20,137","30,503","44,003","48,145","69,835","61,929","59,235","67,104","73,513","64,553","66,310","68,318","72,680","70,071","70,128","76,054","79,825","73,537","77,570","117,396","138,417","135,897","157,615","157,968","157,129","145,631","154,658","161,472","151,399","132,509","128,440","118,312","129,478","134,370","138,469","143,859","137,235","128,242","124,203","143,293","150,319","153,509","129,465","173,173","174,954","181,115","175,309","192,392","191,618","260,748","291,052","273,191","269,700","303,959","386,314","414,994","391,556","357,225","378,389","390,245"
