Currency,Unit,,Description,FY 05,FY 06,FY 07,FY 08,FY 09,FY 10,FY 11,FY 12,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),12/31/2005,12/31/2006,12/31/2007,12/31/2008,12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),02/13/2006,02/13/2007,02/13/2008,02/13/2009,02/13/2010,02/13/2011,02/13/2012,03/26/2013,02/13/2014,02/13/2015,02/13/2016,02/17/2017,02/16/2018,02/19/2019,02/18/2020,02/11/2021,02/23/2022,02/16/2023,02/15/2024
,,Abstract Bold Color,Totals Segment, ,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Total Payable Metals Produced, ,,,,,,,,,,,,,,,,,,
,Actual,,Total Gold Oz Produced,"241,807","245,826","230,992","268,457","492,904","987,607","985,460","1,043,811","1,099,335","1,429,288","1,671,340","1,662,888","1,713,533","1,626,669","1,782,147","1,736,568","2,086,405","3,135,007","3,439,654"
,Thousand,,Total Silver Oz Produced (Thousands),"4,831","4,956","4,920","4,079","4,034","5,307","5,080","4,646","4,623","3,564","4,258","4,759","5,016","4,524","4,310","3,365","2,607","2,292","2,408"
,Actual,,Total Zinc Produced,"76,545","82,183","71,577","65,753","56,185","62,543","54,894","38,637","19,814","10,515","3,501","4,687","6,510","7,864","13,161","6,259","8,837","8,195","7,702"
,Actual,,Total Copper Produced,"7,378","7,289","7,482","6,922","6,671","4,224","3,216","4,126","4,835","4,997","4,941","4,416","4,501","4,193","3,397","3,069","2,955","2,901","2,617"
,,Abstract Bold,Total Payable metals Sold, ,,,,,,,,,,,,,,,,,,
,Actual,,Total Gold Oz Sold,"262,429","256,962","228,838","258,602","464,947","873,055","996,090","1,027,826","1,098,382","1,425,338","1,645,081","1,630,865","1,693,774","1,629,785","1,755,334","1,724,538","2,080,631","3,148,593","3,364,132"
,Thousand,,Total Silver Oz Sold (Thousands),"5,221","4,739","5,183","4,023","3,872","4,723","5,089","4,555","4,694","3,633","4,184","4,761","4,852","4,544","4,273","3,481","2,609","2,354","2,354"
,Actual,,Total Zinc Sold,"75,722","81,688","72,905","62,653","58,391","59,566","54,499","42,604","20,432","10,535","3,596","3,554","6,316","8,523","12,292","5,010","10,803","6,727","8,544"
,Actual,,Total Copper Sold,"8,521","7,303","7,767","6,893","6,689","4,224","3,194","4,115","4,838","5,003","4,947","4,522","4,599","4,195","3,390","3,062","2,973","2,916","2,630"
,,Abstract Bold Color,Realized Prices, ,,,,,,,,,,,,,,,,,,
$,Actual,,Gold price per ounce,449,623,749,896,"1,006","1,239","1,573","1,667","1,366","1,261","1,156","1,249","1,261","1,266","1,406","1,788","1,794","1,797","1,946"
$,Actual,,Silver price per ounce,8.00,12.25,13.50,15.00,15.79,22.41,34.39,31.66,22.42,18.25,15.63,17.28,17.07,15.51,16.38,20.40,25.07,21.63,23.72
$,Actual,,Zinc price per tonne,"1,513","3,648","2,975","1,647","1,837","2,167","1,892","1,955","1,907","2,224","1,875","2,047","2,829","3,034","2,607","2,377","2,947","3,440","2,705"
$,Actual,,Copper price per tonne,"4,376","8,404","6,786","6,363","6,248","8,217","7,162","8,083","7,160","6,596","5,023","4,827","6,345","6,543","5,892","6,298","9,724","8,381","8,544"
,,Abstract Bold Color,Total Cash Costs (US$/oz), ,,,,,,,,,,,,,,,,,,
$,Actual,,LaRonde,43,-690,-365,106,103,-7,77,569,763,668,590,501,406,445,464,466,476,623,840
$,Actual,,LaRonde Zone 5, ,,,,,,,,,,,,,732,722,755,790,"1,021","1,148"
$,Actual,,Goldex, ,,,419,366,335,401,,782,638,538,532,610,646,584,634,684,765,820
$,Actual,,Lapa, ,,,,751,529,650,697,678,667,590,732,755,872, -   , -   , -   , -   , -   
$,Actual,,Kittila, ,,,,668,657,739,565,601,845,709,699,753,853,736,805,835,980,871
$,Actual,,Pinos Altos, ,,,,570,425,299,286,423,533,387,356,395,548,639,749,858,"1,249","1,229"
$,Actual,,Creston Mascota, ,,,,,,,,,578,430,516,575,841,554,605,408,793, -   
$,Actual,,Meadowbank, ,,,,,693,"1,000",913,774,599,613,715,614,814,"1,152","1,404","1,201","1,210","1,176"
$,Actual,,Meliadine, ,,,,,,,,,,,,,,748,774,634,863,980
$,Actual,,Hope Bay, ,,,,,,,,,,,,,,,,"1,063", -   , -   
$,Actual,,La India, ,,,,,,,,,487,436,395,580,685,823,788,939,"1,056","1,241"
$,Actual,,Canadian Malartic complex, ,,,,,,,,,701,596,606,576,559,606,723,663,787,824
$,Actual,,Detour Lake, ,,,,,,,,,,,,,,,,,657,735
$,Actual,,Macassa, ,,,,,,,,,,,,,,,,,683,731
$,Actual,,Fosterville, ,,,,,,,,,,,,,,,,,378,488
$,Actual,Bold,Weighted Avg. Total Cash Costs (US$/oz),43,-690,-365,162,346,451,580,640,672,637,567,573,558,637,673,775,770,793,865
$,Thousand,Bold,Total Amortization,"26,062","25,255","27,757","35,535","70,937","192,486","261,781","271,861","291,864","433,628","608,609","613,160","508,739","553,933","546,057","631,101","738,129","1,094,691","1,491,771"
