Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
,,,Period Ended On (MM/DD/YYYY),03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014
,,,Reported Date (MM/DD/YYYY),05/05/2005,08/01/2005,10/31/2005,02/13/2006,05/05/2006,08/01/2006,10/31/2006,02/13/2007,05/05/2007,08/01/2007,10/31/2007,02/13/2008,05/05/2008,08/01/2008,10/31/2008,02/13/2009,05/05/2009,08/01/2009,10/31/2009,02/13/2010,05/05/2010,08/01/2010,10/31/2010,02/13/2011,05/05/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,02/13/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014
,,Abstract Bold,Assets:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Current assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Cash and cash equivalents,"97,158","87,590","65,726","120,982","75,319","363,473","254,918","458,617","427,615","495,334","358,823","396,019","252,199","148,961","112,209","99,381","176,811","138,687","208,609","163,593","113,615","147,807","141,192","104,645","108,433","132,950","110,425","221,458","155,476","250,470","274,442","332,008","232,285","107,379","112,111","170,041","181,775","240,773"
$,Thousand,Indent,Restricted cash,"4,701","3,024","6,317",,"28,779","19,694","5,923",,,,,,"2,351",,,,"27,537","30,675","24,919",,"1,132","1,840","1,890",,"2,018","3,539","3,294",,"37,608","35,574","36,877",,"24,924","24,106","27,390",,"22,779","30,154"
$,Thousand,Indent,Short-term investments,"15,255","30,184","51,914",,"50,811","32,304","170,042",,,,"68,771",,"39,869",992,,,"4,027","4,543","5,504",,"3,305","3,139","5,034",,"4,374","2,470","2,951",,"5,991","3,008","9,488",,"7,186","4,878","2,167",,"2,217","4,221"
$,Thousand,Indent,Trade receivables,"41,689","35,459","46,128","56,304","65,212","96,864","80,082","84,987","75,180","76,511","74,619","79,419","93,525","81,264","60,811","45,640","60,837","78,151","71,647","93,570","73,181","65,355","83,814","112,949","71,566","64,821","78,779","75,899","90,892","75,892","77,044","67,750","70,526","60,001","64,171","67,300","74,411","57,800"
$,Thousand,Indent,Income taxes recoverable,"13,154","7,590","7,546","7,723","4,434",,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,"18,682",,
,,Abstract Bold+Indent,Inventories:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
