Currency,Unit,,Description,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),10/31/2014,08/04/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/25/2019,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract Bold,Assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Current assets:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Cash and cash equivalents,"158,823","177,537","138,006","158,331","201,964","124,150","162,746","467,902","618,561","539,974","793,187","943,936","855,466","632,978","452,258","708,270","520,255","301,826","190,038","118,732","258,419","321,897","1,255,273","329,557","315,884","402,527","126,466","277,670","241,512","185,786","1,061,995","1,006,855","821,758","658,625","744,645","432,526","355,491","338,648","524,625","921,989","977,215"
$,Thousand,Indent,Short-term investments,"6,821","4,621","4,722","5,669","6,144","7,444","5,209","5,749","8,802","8,424","11,145","8,419","10,182","10,919","12,571","12,936","13,183","6,080","6,506","6,899","6,764","6,005","8,149","6,890","5,635","3,936","5,486","3,270","2,112","5,288", -   , -   ,,"9,896","9,517","9,328","9,372","10,199","8,341","8,438","5,892"
$,Thousand,Indent,Restricted cash,"33,615","33,122","29,419","19,939","19,499",685,675,676,452,398,379,395,420,422,"1,201",408,411,, -   , -   , -   , -   , -   , -   , -   , -   ,"23,077", -   , -   , -   , -   , -   ,,280,316,316,312,335,331,329,365
$,Thousand,Indent,Trade receivables,"61,728","59,716","61,200","61,195","5,899","7,714","5,641","5,443","7,899","8,185","9,613","8,395","7,744","12,000","13,734","13,479","8,626","10,055","10,263","8,710","8,598","8,320","7,038","6,709","9,167","11,867","16,371","16,284","12,898","13,545","10,716","10,401","6,962","8,579","7,212","10,141","7,569","8,148","6,940","7,566","11,926"
$,Thousand,Indent,Inventories,"452,335","446,660","442,278","439,875","490,833","461,976","435,447","438,726","441,487","443,714","420,066","432,090","511,327","500,976","467,048","440,047","491,900","494,150","493,441","508,448","577,498","580,068","558,042","604,937","651,673","630,474","668,444","711,956","878,220","878,944","1,096,930","1,094,590","1,259,713","1,209,075","1,238,640","1,253,112","1,403,677","1,418,941","1,349,736","1,355,663","1,533,064"
$,Thousand,Indent,Income taxes recoverable,"1,540","1,658","18,287","11,838","58,473",817,"4,878","8,887","4,368", -   ,447,433, -   ,"13,598","15,876","30,900","36,349","17,805","21,797","24,064","9,101","2,281",248,"4,442","2,405","3,656","6,210","7,366","12,791","7,674","69,828","76,954","29,410","35,054","42,090","25,696","47,067","27,602","28,774","19,431","19,707"
$,Thousand,Indent,Equity securities,"64,725","56,468","46,888","46,029","31,960","31,863","66,350","85,581","103,421","92,310","126,000","128,100","123,181","122,775","100,818","73,221","76,163","76,532","70,815","74,826","74,915","86,252","76,214","177,945",,,,,,,,,,,,,,, -   , -   , -   
$,Thousand,Indent,Fair value of derivative financial instruments,"3,227","4,877",335,899,321,87,"4,520","2,454",857,364,"2,650","15,219","24,733","17,240","9,522","5,558","4,263",180,"2,640","4,618","1,388","9,519","9,894","55,254","17,721","35,516","36,862","32,857","16,311","12,305","27,396","11,494","3,197","8,774","9,140","14,792","7,326","50,786","10,166","5,063","15,742"
$,Thousand,Indent,Other current assets,"130,176","123,401","127,830","146,529","171,835","194,689","186,850","181,342","168,500","136,810","130,087","149,762","174,968","150,626","145,682","200,898","206,527","165,824","160,640","241,672","200,122","179,218","148,924","163,754","160,633","159,212","162,661","221,240","246,770","198,846","266,075","352,166","299,550","249,776","255,976","363,340","361,355","336,493","316,243","393,855","343,792"
$,Thousand,Bold,Total current assets,"912,990","908,060","868,965","890,304","986,928","829,425","872,316","1,196,760","1,354,347","1,230,179","1,493,574","1,686,749","1,708,021","1,461,534","1,218,710","1,485,717","1,357,677","1,072,452","956,140","987,969","1,136,805","1,193,560","2,063,782","1,349,488","1,163,118","1,247,188","1,045,577","1,270,643","1,410,614","1,302,388","2,532,940","2,552,460","2,420,590","2,180,059","2,307,536","2,109,251","2,192,169","2,191,152","2,245,156","2,712,334","2,907,703"
,,Abstract Bold,Non-current assets:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Restricted cash,"21,631","20,899","19,116","19,436",765,741,791,789,782,764,770,790,806,801, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Goodwill,"638,393","582,461","601,190","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","696,809","407,792","407,792","407,792","407,792","407,792","407,792","407,792","407,792","407,792","407,792","407,792","407,792","407,792","2,044,123","2,044,123","2,044,123","2,044,123","3,774,892","4,574,777","4,576,454","4,157,672","4,157,672","4,157,672","4,157,672"
$,Thousand,Indent,"Property, plant and mine development","5,057,099","5,301,496","5,247,513","5,120,069","5,082,342","5,088,967","5,069,152","5,063,100","5,045,798","5,106,036","5,124,758","5,224,272","5,389,334","5,626,552","5,874,610","5,990,183","6,173,019","6,234,302","6,400,211","6,507,737","6,566,366","7,003,665","7,024,966","7,093,562","7,128,672","7,325,418","7,510,100","7,567,793","7,614,279","7,675,595","18,036,217","18,062,876","18,215,422","18,459,400","22,486,340","21,223,554","21,426,291","21,221,905","21,194,013","21,173,067","21,389,861"
$,Thousand,Indent,Investments, ,,,,,,,,,,,,,,,,,,,,,,,,,"375,103","282,158","333,370","291,529","343,509","450,879","295,894","275,599","332,742","351,235","340,974","284,689","345,257","389,170","393,867","512,571"
$,Thousand,Indent,Deferred income and mining tax assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,608",,, -   ,"11,574","12,508","12,603","13,517","53,796","51,602","31,865","18,573"
$,Thousand,Indent,Equity securities, ,,,,,,,,,,,,,,,,,,,,,,,,"220,476",,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Fair value of derivative financial instruments, ,,,,,,,,,,,,,,,,,,,,,,,,"61,381",,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Other assets,"44,756","27,622","30,341","23,197","38,764","67,238","77,496","66,737","75,143","74,163","81,358","86,422","80,230","79,905","86,315","105,978","128,334","138,297","148,801","187,182","195,742","184,868","199,390","208,187","220,068","259,254","297,369","340,390","335,062","353,198","408,241","395,785","407,329","466,910","713,905","1,050,493","732,561","715,167","764,828","822,401","830,109"
$,Thousand,Bold,Total assets,"6,674,869","6,840,538","6,767,125","6,749,815","6,805,608","6,683,180","6,716,564","7,024,195","7,172,879","7,107,951","7,397,269","7,695,042","7,875,200","7,865,601","7,876,444","8,278,687","8,355,839","7,852,843","7,912,944","8,090,680","8,306,705","8,789,885","9,695,930","9,059,029","9,201,507","9,614,755","9,674,221","10,050,409","10,189,460","10,216,090","23,472,400","23,351,138","23,363,063","23,494,808","29,646,416","29,311,652","29,225,681","28,684,949","28,802,441","29,291,206","29,816,489"
,,Abstract Bold,Liabilities:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Current liabilities:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Accounts payable and accrued liabilities,"224,048","206,180","187,602","232,674","251,969","243,786","202,158","239,778","286,448","228,566","215,677","304,892","383,061","290,722","276,555","324,396","407,179","310,597","260,277","341,610","370,573","345,572","274,385","347,066","385,037","363,801","362,473","475,344","512,130","414,673","633,805","652,789","718,969","672,503","694,148","806,687","756,067","750,380","696,912","770,802","882,039"
$,Thousand,Indent,Share based liabilities, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,968","5,919","5,422","15,148","13,496","11,310","11,765","24,316","14,445","16,730","20,936"
$,Thousand,Indent,Reclamation provision,"2,798","6,769","6,994","7,666","8,349","6,245","6,795","10,347","12,143","9,193","11,251","7,895","10,160","10,038","12,847","4,728","4,611","5,411","7,043","7,102","8,044","12,455","14,942","15,306","15,313","15,270","11,313","17,822","22,102","7,547","20,478","21,547","19,065","23,508","36,795","42,818","39,022","24,266","34,553","48,647","49,721"
$,Thousand,Indent,Dividends payable, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Interest payable,"21,095","13,816","20,987","13,611","21,135","14,526","22,107","13,898","26,127","14,242","26,379","12,491","26,373","12,894","26,399","16,350","34,295","16,531","34,272","32,165","34,395","16,752","35,595","12,524","25,396","12,184","25,509","12,297","25,780","12,303","25,487","10,243","20,507","16,496","20,507","8,151","19,405","14,226","19,342","21,200","18,505"
$,Thousand,Indent,Income taxes payable,"15,369","19,328","11,894","18,488","9,495","14,852","5,189","13,113","20,052","35,070","31,714","16,893","20,058","16,755","16,702","16,716","11,856","18,671","5,319","6,660","8,784","26,166","11,931","12,583","40,137","102,687","32,036","30,699","40,511","47,213","20,376","28,808","40,495","4,187","26,135","70,870","86,261","81,222","89,495","128,940","220,707"
