Currency,Unit,,Description,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),02/13/2014,04/30/2020,02/13/2016,02/17/2017,02/16/2018,02/19/2019,02/18/2020,02/11/2021,02/23/2022,02/16/2023,02/15/2024
,,Abstract Bold,Assets, ,,,,,,,,,,
,,Abstract Bold,Current assets:, ,,,,,,,,,,
$,Thousand,Indent,Cash and cash equivalents,"139,101","177,537","124,150","539,974","632,978","301,826","321,897","402,527","185,786","658,625","338,648"
$,Thousand,Indent,Short-term investments,"2,217","4,621","7,444","8,424","10,919","6,080","6,005","3,936","5,288","9,896","10,199"
$,Thousand,Indent,Restricted cash,"28,723","33,122",685,398,422,,, -   , -   ,280,335
$,Thousand,Indent,Trade receivables,"67,300","59,716","7,714","8,185","12,000","10,055","8,320","11,867","13,545","8,579","8,148"
$,Thousand,Indent,Inventories,"345,083","446,660","461,976","443,714","500,976","494,150","580,068","630,474","878,944","1,209,075","1,418,941"
$,Thousand,Indent,Income taxes recoverable,"18,682","1,658",817, -   ,"13,598","17,805","2,281","3,656","7,674","35,054","27,602"
$,Thousand,Indent,Equity securities,"74,581","56,468","31,863","92,310","122,775","76,532","86,252",,,,
$,Thousand,Indent,Fair value of derivative financial instruments,"5,590","4,877",87,364,"17,240",180,"9,519","35,516","12,305","8,774","50,786"
$,Thousand,Indent,Other current assets,"116,992","123,401","194,689","136,810","150,626","165,824","179,218","159,212","198,846","249,776","336,493"
$,Thousand,Bold,Total current assets,"798,269","908,060","829,425","1,230,179","1,461,534","1,072,452","1,193,560","1,247,188","1,302,388","2,180,059","2,191,152"
,,Abstract Bold,Non-current assets:, ,,,,,,,,,,
$,Thousand,Indent,Restricted cash, ,"20,899",741,764,801,,, -   , -   , -   , -   
$,Thousand,Indent,Goodwill,"39,017","582,461","696,809","696,809","696,809","407,792","407,792","407,792","407,792","2,044,123","4,157,672"
$,Thousand,Indent,"Property, plant and mine development","3,694,461","5,301,496","5,088,967","5,106,036","5,626,552","6,234,302","7,003,665","7,325,418","7,675,595","18,459,400","21,221,905"
$,Thousand,Indent,Investments, ,,,,,,,"375,103","343,509","332,742","345,257"
$,Thousand,Indent,Deferred income and mining tax assets, ,,,,,,,,"133,608","11,574","53,796"
,,,Equity securities,,,,,,,,,,,
,,,Fair value of derivative financial instruments,,,,,,,,,,,
