Currency,Unit,,Description,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract bold color,Canadian Malartic Mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Canadian Malartic - Ore Milled (000's tonnes),397.8,"2,416.8","2,448.7","2,339.5","2,307.1","2,470.3","2,427.9","2,380.3","2,524.4","2,483.5","2,432.5","2,432.6","2,603.7","2,527.8","2,614.7","2,509.9","2,633.0","2,557.0","2,542.0","2,517.5","2,641.6","2,644.8","2,720.6","2,456.3","2,353.9","2,721.3","2,868.4","2,631.3","2,819.5","2,914.6","2,764.9","2,411.9","2,399.2","2,484.1","2,474.8","2,262.0","4,881.9","4,911.3","5,277.7","5,173.1","5,181.5","4,861.9"
,Actual,Indent,Canadian Malartic - Grade gold (g/tonne),1.03,0.94,0.94,1.00,1.04,1.08,1.06,1.07,1.00,1.07,1.01,1.03,1.11,1.14,1.09,1.17,1.23,1.22,1.18,1.18,1.12,1.07,1.09,0.94,0.86,1.00,1.07,1.18,1.13,1.03,1.12,1.14,1.23,1.04,1.18,1.19,1.24,1.22,1.08,1.21,1.17,0.98
,Actual,Indent,Canadian Malartic - Mill Recovery %,90.0%,89.0%,89.2%,90.0%,88.5%,89.0%,88.0%,89.9%,89.1%,89.2%,89.0%,88.7%,89.0%,89.0%,87.8%,88.2%,88.5%,88.5%,87.9%,88.0%,88.4%,89.3%,89.1%,86.9%,87.2%,87.5%,88.0%,89.6%,89.7%,90.0%,89.5%,90.8%,91.7%,91.2%,92.2%,92.6%,93.2%,93.2%,92.2%,93.2%,92.6%,91.8%
,Actual,Indent,Canadian Malartic - Payable metal produced gold Oz,"11,878","64,761","66,369","67,893","68,441","76,603","72,872","73,613","72,502","76,428","69,971","71,382","82,509","82,097","80,743","83,403","91,863","88,602","84,732","83,670","84,311","81,573","85,042","64,763","56,785","76,398","86,371","89,550","92,106","86,803","88,933","80,509","87,186","75,262","86,439","80,685","177,755","177,243","168,272","186,906","180,871","141,392"
,Thousand,Indent,Canadian Malartic - Payable metal produced silver Oz ('000),10,66,73,72,69,76,83,77,86,96,80,84,89,80,88,106,117,110,104,111,94,102,114,97,82,81,88,82,69,70,69,74,57,57,57,53,90,80,88,83,80,63
,Actual,Indent,Canadian Malartic - Payable metal sold gold Oz,"16,377","60,093","66,220","59,620","67,522","72,651","71,982","65,085","72,258","72,950","67,900","63,860","77,380","74,040","83,750","77,045","84,920","84,303","84,352","74,846","79,800","77,595","83,215","64,900","47,384","75,568","79,946","83,556","89,372","81,511","81,977","72,268","85,160","75,067","84,697","71,809","168,257","164,974","165,518","159,548","176,651","139,694"
,Thousand,Indent,Canadian Malartic - Payable metal sold silver Oz ('000),15,57,68,54,80,53,98,73,77,87,76,79,75,85,90,87,107,110,90,94,104,83,106,111,59,70,101,67,68,66,58,79,44,61,59,50,81,64,82,79,74,58
