Currency,Unit,,Description,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),02/13/2015,02/13/2016,02/17/2017,02/16/2018,02/19/2019,02/18/2020,02/11/2021,02/23/2022,02/16/2023,02/15/2024
,,Abstract bold color,Canadian Malartic Mine, ,,,,,,,,,
,Thousand,Indent,Canadian Malartic - Ore Milled (000's tonnes),"5,263.1","9,544.8","9,820.7","10,178.8","10,241.9","10,524.5","10,399.9","11,130.2","9,769.9","17,332.9"
,Actual,Indent,Canadian Malartic - Grade gold (g/tonne),0.95,1.05,1.04,1.09,1.20,1.11,0.97,1.11,1.15,1.17
,Actual,Indent,Canadian Malartic - Mill Recovery %,89.2%,88.8%,89.3%,88.6%,88.3%,88.7%,87.5%,89.7%,91.5%,92.8%
,Actual,Indent,Canadian Malartic - Payable metal produced gold Oz,"143,008","285,809","292,514","316,731","348,600","334,596","284,317","357,392","329,396","603,955"
,Thousand,Indent,Canadian Malartic - Payable metal produced silver Oz ('000),151,300,340,341,437,421,348,290,245,311
,Actual,Indent,Canadian Malartic - Payable metal sold gold Oz,"142,689","271,416","278,194","299,030","330,620","315,456","267,798","336,416","317,192","570,558"
,Thousand,Indent,Canadian Malartic - Payable metal sold silver Oz ('000),140,285,312,329,394,386,341,259,243,277
$,Thousand,Indent+Bold,Revenue from Canadian Malartic mine,"189,900","333,280","371,920","404,441","448,526","466,317","478,542","645,607","575,938","1,124,480"
,,Abstract bold color,Costs for Canadian Malartic, ,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Production costs,"113,916","171,473","183,635","188,569","199,761","208,178","195,312","242,589","235,735","465,814"
$,Thousand,,Cash operating profit,"75,984","161,807","188,285","215,872","248,765","258,139","283,230","403,018","340,203","658,666"
$,Thousand,Indent,Canadian Malartic - Amortization,"40,973","103,050","117,665","122,368","126,422","119,822","132,531","167,157","127,842","340,737"
$,Thousand,Bold,Operating profit post amortization,"35,011","58,757","70,620","93,504","122,343","138,317","150,699","235,861","212,361","317,929"
,,, , ,,,,,,,,,
,,Abstract Bold,Canadian Malartic - Cost Reconciliation, ,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Production costs,"113,916","171,473","183,635","188,569","199,761","208,178","195,312","242,589","235,735","465,814"
$,Thousand,Indent,Canadian Malartic - By-product metal revenues,"-2,771","-4,689","-5,821","-5,759","-6,806","-6,711","-7,198","-7,233","-5,087","-6,732"
$,Thousand,Indent,Canadian Malartic - Inventory and other adjustments,"-10,862","3,630",-553,-497,"1,947",-723,"3,855","1,692","28,701","38,440"
$,Thousand,Indent,Canadian Malartic - Stripping costs, ,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Non-cash reclamation provision, ,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Cash operating costs,"100,283","170,414","177,261","182,313","194,902","200,744","191,969","237,048","259,349","497,522"
$,Actual,Bold+Indent,Canadian Malartic - Total cash costs ( Per ounce of commercial production),701,596,606,576,559,606,723,663,787,824
C$,Thousand,Indent,Canadian Malartic - Minesite operating costs (C$),"113,818","219,714","240,934","240,336","261,263","272,585","259,985","309,047","339,617","680,272"
C$,Actual,Indent,Canadian Malartic - Minesite costs per tonne (C$),22,23,25,24,25,26,27,28,35,39
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,"43,368","60,434","86,549","82,833","83,051","55,799","129,362","197,688","251,541"
$,Thousand,,Total Sustaining Capital Expenditures, ,"41,609","58,174","67,878","50,860","45,880","52,482","72,749","69,137","91,028"
,,Abstract bold color Indent,Supplementary Data,,,,,,,,,,
$,Thousand,,Capital Expenditures,"35,601","42,055","53,319","78,229","78,392","82,693","55,799","118,662","185,134","251,541"
$,Thousand,,Capitalized Exploration,482,"1,313","7,115","8,320","4,441",358,,"10,699","12,554","9,447"
$,Thousand,,Depreciable Assets,"1,285,254","1,267,449","1,205,284","902,419","924,562","844,327","882,390","769,224","690,018","656,179"
$,Actual,,Total Cash Costs (US$/oz),701,596,606,576,559,606,723,663,787,824
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
