Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),, ,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),,,04/27/2023,04/25/2024
,,Abstract Bold Color,Environmental,, ,,
,,Abstract Bold,Environmental Stewardship,, ,,
,,Abstract Bold,"Operational Sites Owned, Leased, Managed in, or Adjacent to, Protected Areas and Areas of High Biodiversity Value Outside Protected Areas", EM-MM-160a.3,"304-1, 304-2",,
,Actual,,Total area (ha) of leased/owned site,, ,"128,865","90,373"
,Actual,,Site area (ha) physically disturbed by mine-related activity,, ,"11,167","11,203"
,Actual,,Site area (ha) currently undisturbed,, ,"117,698","79,418"
,,,,, ,,
,,Abstract Bold,Habitats Protected or Restored,,304-3,,
,Actual,,Total site area (ha) that will be rehabilitated at closure,, ,"10,515","10,887"
,Actual,,Site area (ha) rehabilitated during the reporting year,, ,96,2
,Actual,,Total size of land succesfully restored (ha),, ,96,0
,Actual,,Size of protected land (ha),, ,508,508
,,,,, ,,
,,Abstract Bold,IUCN Red List Species and National Conservation List Species with Habitats in Areas Affected by Operations,EM-MM-160a.3,304-4,,
,Actual,Bold,Total  IUCN red list species and national conservation list species,, ,"2,417","3,461"
,Actual,,Critically endangered,, ,5,5
,Actual,,Endangered,, ,18,22
,Actual,,Vulnerable,, ,69,82
,Actual,,Near threatened,, ,61,96
,Actual,,Least concerned,, ,"1,794","2,775"
,Actual,,Other,, ,470,481
,,,,, ,,
,,Abstract Bold,Cyanide Management, EM-MM-150a.9, ,,
,Actual,Bold,Cyanide use (tonnes),, ,"22,677","23,639"
,Actual,,Total significant cyanide incidents that require reporting under applicable regulations,, ,0,2
,Actual,,Cyanide releases off the mine site requiring response or remediation,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to health ,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to the environment,, ,4,6
,Actual,,Cyanide releases on or off the mine site requiring reporting under applicable regulations,, ,0,9
