Currency,Unit,,Description,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract bold color,Detour Lake Mine, ,,,,,,,,,,
,Thousand,Indent,Detour Lake - Ore Milled (000's tonnes),"3,270.0","6,519.1","6,504.6","6,487.9","6,396.9","6,800.3","5,629.8","6,607.9","6,502.1","6,791.9","7,082.3"
,Actual,Indent,Detour Lake - Grade gold (g/tonne),1.03,1.01,0.91,0.94,0.86,0.85,0.93,1.02,0.82,0.86,0.85
,Actual,Indent,Detour Lake - Mill Recovery %,92.4%,92.2%,92.1%,91.6%,91.8%,91.3%,90.9%,89.7%,88.1%,89.6%,89.8%
,Actual,Indent,Detour Lake - Payable metal produced gold Oz,"100,443","195,515","175,487","179,737","161,857","169,352","152,762","193,475","150,751","168,247","173,891"
,Actual,Indent,Detour Lake - Payable metal sold gold Oz,"131,837","188,517","164,300","174,803","163,294","160,281","149,747","177,083","167,008","153,622","176,585"
$,Thousand,Indent+Bold,Revenue from Detour Lake mine,"248,023","352,270","284,570","303,878","306,595","317,068","288,156","351,020","342,957","359,416","437,920"
,,Abstract bold color,Costs for Detour Lake, ,,,,,,,,,,
$,Thousand,Indent,Detour Lake - Production costs,"119,965","137,429","113,736","118,573","114,022","112,796","106,396","120,284","131,905","120,302","127,159"
$,Thousand,,Cash operating profit,"128,058","214,841","170,834","185,305","192,573","204,272","181,760","230,736","211,052","239,114","310,761"
$,Thousand,Indent,Detour Lake - Amortization,"44,270","61,946","49,721","44,423","55,707","52,364","59,130"," (5,382)","47,792","43,697","47,073"
$,Thousand,Indent+Bold,Operating profit post amortization,"83,788","152,895","121,113","140,882","136,866","151,908","122,630","236,118","163,260","195,417","263,688"
,,,, ,,,,,,,,,,
,,Abstract Bold,Detour Lake - Cost Reconciliation, ,,,,,,,,,,
$,Thousand,Indent,Detour Lake - Production costs,"119,965","137,429","113,736","118,573","114,022","112,796","106,396","120,284","131,905","120,302","127,159"
$,Thousand,Indent,Detour Lake - By-product metal revenues,"-1,205","-1,015",-736,-756,-682,-505,-288,-598,-580,-666,-757
$,Thousand,Indent,Detour Lake - Inventory and other adjustments,"-58,483","-11,398","8,300","3,360","11,435","11,477","9,238","14,098",16,"13,429","9,247"
$,Thousand,Indent,Detour Lake - Cash operating costs,"60,277","125,016","121,300","121,177","124,775","123,768","115,346","133,784","131,341","133,065","135,649"
$,Actual,Indent+Bold,Detour Lake - Total cash costs ( Per ounce of commercial production),600,640,691,674,771,731,755,691,871,791,779
C$,Thousand,Indent,Detour Lake - Minesite operating costs (C$),"77,746","160,867","159,840","166,458","163,188","175,383","142,675","180,359","176,145","179,190","180,952"
C$,Actual,Indent,Detour Lake - Minesite costs per tonne (C$),24,24,25,25,26,26,25,27,27,26,26
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,
$,Thousand,,Total Capital Expenditures,"41,502","116,374","113,886","122,370","84,359","94,268","110,248","126,223","94,949","102,833","138,888"
$,Thousand,,Total Sustaining Capital Expenditures,"12,642","73,974","68,898","58,546","53,284","60,678","68,680","67,123","49,638","61,971","77,638"
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,
$,Thousand,,Capital Expenditures,"33,898","107,327","105,761","115,746","75,892","85,452","102,586","126,223","87,397","93,286","129,837"
$,Thousand,,Capitalized Exploration,"7,604","9,047","8,125","6,624","8,467","8,815","7,662","7,571","7,552","9,547","9,051"
,,Abstract bold color Indent,Expense Breakdown By Major Categories, ,,,,,,,,,,
,Actual,,Labour,26%,20%,18%,18%,22%,23%,21%,20%,22%,23%,21%
,Actual,, Contractors,9%,13%,14%,12%,13%,14%,18%,16%,15%,15%,20%
,Actual,,Energy,26%,19%,21%,19%,18%,14%,16%,17%,17%,15%,15%
,Actual,,Chemical,0%,5%,6%,5%,9%,10%,8%,9%,9%,10%,10%
,Actual,,Consumables/Other,39%,43%,41%,46%,38%,39%,37%,38%,37%,37%,34%
,Actual,Bold,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets, ,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),600,640,691,674,771,731,755,691,871,791,779
,,,, ,,,,,,,,,,
