Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),, ,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),,,04/27/2023,04/25/2024
,,Abstract Bold Color,Environmental,, ,,
,,Abstract Bold,Environmental Stewardship,, ,,
,,Abstract Bold,Operational Sites Owned Leased Managed in or Adjacent to Protected Areas and Areas of High Biodiversity Value Outside Protected Areas, EM-MM-160a.3,"304-1, 304-2",,
,Actual,,Is the mine in or adjacent (< 5km) to protected or high biodiversity areas?,,,No,No
,Actual,,Does the mine have significant direct and indirect impacts on biodiversity? ,,,No,No
,Actual,,Does the mine have any designated land to protect or restore?,,,No,No
,Actual,,Total area (ha) of leased/owned site,, ,"39,500",0
,Actual,,Site area (ha) physically disturbed by mine-related activity,, ,124,124
,Actual,,Site area (ha) currently undisturbed,, ,"39,376",124
,,,,, ,,
,,Abstract Bold,Habitats Protected or Restored,,304-3,,
,Actual,,Total site area (ha) that will be rehabilitated at closure,, ,124,124
,Actual,,Site area (ha) rehabilitated during the reporting year,, ,1,1
,Actual,,Total size of land succesfully restored (ha),, ,1,0
,Actual,,Status of restoration,,,N/A,Not Sarted
,Actual,,Do partnerships exist with third parties to protect or restore distinct habitat?,,,N/A,N/A
,Actual,,Does successful restoration require approval by independent external professionals?,,,N/A,N/A
,Actual,,Size of protected land (ha),, ,0,0
,,,,, ,,
,,Abstract Bold,Protected or High Biodiversity Areas,,304-1,,
,Actual,,Operation's position in relation to protected or high biodiverisity areas,,,N/A,N/A
,Actual,,Ecosystem of protected or high biodiveristy areas,,,N/A,N/A
,Actual,,Is the area protected under national legislation?,,,N/A,N/A
,Actual,,If applicable IIUCN protected area management category,,,N/A,N/A
,Actual,,Is the area protected under the ramsar convention?,,,N/A,N/A
,,,,, ,,
,,Abstract Bold,IUCN Red List Species and National Conservation List Species with Habitats in Areas Affected by Operations,EM-MM-160a.3,304-4,,
,Actual,Bold,Total  IUCN red list species and national conservation list species,, ,102,102
