Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
,,,Period Ended On (MM/DD/YYYY),03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014
,,,Reported Date (MM/DD/YYYY),05/05/2005,08/01/2005,10/31/2005,02/13/2006,05/05/2006,08/01/2006,10/31/2006,02/13/2007,05/05/2007,08/01/2007,10/31/2007,02/13/2008,05/05/2008,08/01/2008,10/31/2008,02/13/2009,05/05/2009,08/01/2009,10/31/2009,02/13/2010,05/05/2010,08/01/2010,10/31/2010,02/13/2011,05/05/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,02/13/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014
,,Abstract Bold,Revenues, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Revenues from mining operations,"61,766","49,572","58,608","71,392","90,581","126,872","108,798","138,381","100,730","117,935","104,812","108,728","119,134","85,398","91,171","73,235","105,831","133,084","149,250","225,597","237,583","347,456","398,478","439,004","412,068","433,691","520,537","455,503","472,934","459,561","535,836","449,383","420,422","336,424","444,320","437,240","491,767","437,794"
$,Thousand,Indent,Production cost,"30,973","30,268","32,548","33,576","33,187","35,567","36,456","38,543","36,178","42,810","44,936","42,180","43,651","46,041","50,525","46,645","49,718","61,013","88,652","106,935","118,227","166,573","196,674","195,998","198,567","212,754","237,190","227,567","215,035","219,906","220,408","242,363","230,053","225,951","231,535","237,388","224,091","239,006"
,,Abstract Bold,Expenses, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Exploration and corporate development,"2,763","3,364","4,296","6,158","5,517","6,818","7,808","10,271","5,829","9,037","3,792","6,849","8,898","8,940","8,325","8,541","6,249","9,735","11,846","7,561","7,504","12,955","19,491","15,008","16,978","17,289","9,610","31,844","23,108","34,286","36,023","16,083","8,571","11,326","15,550","8,789","9,418","11,552"
$,Thousand,Indent,Equity loss in junior exploration companies,"1,134",838,584,342,84,233,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Environmental remediation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,066",-11,,,,,,
$,Thousand,Indent,"Amortization of property, plant and mine development","7,211","5,983","6,276","6,592","5,997","6,108","6,119","7,031","6,928","7,094","7,578","6,157","7,030","7,516","9,049","12,538","12,130","15,470","23,200","21,661","30,503","44,003","48,145","69,835","61,929","59,235","67,104","73,513","64,553","66,310","68,318","72,680","70,071","70,128","76,054","79,825","73,537","77,570"
