Currency,Unit,,Description,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),08/01/2009,10/28/2009,02/13/2010,04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract+bold+color,Kittila Mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Kittila -  Ore milled('000 tonnes),180.2,180.1,251.0,217.7,219.5,282.2,241.0,262.0,233.1,294.0,241.7,289.4,251.0,271.2,278.8,267.0,51.7,307.4,308.1,307.3,247.5,235.4,366.2,345.2,379.5,362.2,377.2,432.2,388.9,445.0,400.7,422.8,439.5,428.6,393.8,468.3,422.9,473.9,462.2,456.1,159.4,507.2,468.2,419.5,500.2,429.2,352.6,493.8,483.0,549.6,525.5,461.4,555.7,487.2,420.5,495.5,417.3,527.4,514.0,482.3,524.0,543.7
,Actual,Indent,Kittila -  Grade gold (g/tonne),4.78,4.74,5.80,4.91,6.60,5.47,4.70,5.51,4.98,4.83,5.16,5.68,5.10,6.25,5.65,5.49,4.10,6.26,4.69,4.46,4.75,4.48,4.59,4.72,4.15,4.66,4.28,4.12,4.29,4.39,4.84,4.29,3.84,4.15,4.32,3.77,3.63,3.87,3.93,3.95,4.54,4.23,4.14,4.21,4.38,4.38,4.58,4.37,3.96,4.03,4.39,3.60,4.35,4.56,3.93,4.73,4.42,4.20,4.55,4.31,4.07,3.94
,Actual,Indent,Kittila - Mill Recovery %,49.03%,64.37%,76.16%,70.77%,68.10%,81.07%,81.80%,86.37%,82.65%,83.51%,85.39%,88.50%,85.46%,89.18%,89.55%,91.55%,77.53%,90.86%,89.72%,87.54%,84.54%,83.26%,79.92%,85.30%,82.90%,85.70%,85.30%,84.00%,86.00%,87.10%,85.40%,88.30%,87.00%,87.80%,87.20%,84.90%,85.20%,83.50%,84.60%,84.90%,86.20%,89.00%,89.00%,86.80%,85.90%,87.80%,86.60%,87.60%,86.70%,87.20%,85.30%,84.90%,83.60%,86.40%,84.10%,84.50%,84.50%,83.30%,81.30%,81.80%,81.10%,82.40%
,Actual,Indent,Kittila - Payable metal produced gold Oz,"13,771","18,284","35,270","24,547","31,593","40,344","29,721","40,317","30,811","37,924","34,508","46,758","35,228","48,619","45,273","43,145","5,389","56,177","41,710","38,552","31,830","28,230","43,130","44,654","41,986","46,455","44,279","48,127","46,209","54,835","53,337","51,621","47,156","50,415","47,746","48,118","42,049","49,459","49,353","49,336","20,077","61,343","55,345","49,297","60,623","53,149","45,056","60,716","53,263","62,089","63,172","45,508","64,814","61,901","44,724","63,692","50,130","59,408","61,172","54,581","55,671","56,715"
,Actual,Indent,Kittila - Payable metal sold gold oz,"6,780","21,946","30,659","30,674","28,588","41,655","28,722","40,698","29,794","36,745","37,769","44,227","34,476","45,155","46,620","44,340","12,752","48,027","43,442","37,429","31,519","28,209","42,609","48,982","39,385","47,070","43,499","50,725","44,580","55,710","51,687","53,900","46,210","49,513","48,079","49,780","41,758","48,340","47,393","49,205","22,620","60,020","52,595","54,250","59,235","56,848","40,692","59,597","54,790","60,820","55,363","51,615","64,378","63,813","46,560","60,720","51,800","58,540","59,000","55,000","56,984","59,464"
$,Thousand,Indent+Bold,Revenue from Kittila mine,"6,335","20,871","34,251","34,488","34,725","51,225","39,702","56,331","44,895","62,165","62,221","75,079","55,004","75,741","78,605","72,138","18,047","64,433","55,105","48,462","41,109","36,091","50,859","59,414","46,922","52,644","47,376","60,113","56,134","74,151","61,948","65,760","58,161","63,449","61,391","66,025","54,071","58,257","58,931","63,839","29,238","89,143","78,103","85,581","102,142","108,554","75,855","107,363","99,382","108,502","99,409","95,562","120,926","110,384","80,797","116,019","102,868","113,729","116,103","114,063","133,160","148,652"
,,Abstract+bold+color,Costs for Kittila Project, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
