Currency,Unit,,Description,FY 09,FY 10,FY 11,FY 12,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),02/13/2010,02/13/2011,02/13/2012,03/26/2013,02/13/2014,02/13/2015,02/13/2016,02/17/2017,02/16/2018,02/19/2019,02/18/2020,02/11/2021,02/23/2022,02/16/2023,02/15/2024
,,Abstract bold color,Kittila Mine, ,,,,,,,,,,,,,,
,Thousand,Indent,Kittila -  Ore milled('000 tonnes),563.2,960.4,"1,030.8","1,090.4",934.2,"1,156.4","1,464.0","1,666.7","1,684.6","1,827.3","1,590.9","1,701.5","2,051.9","1,924.8","1,954.2"
,Actual,Indent,Kittila -  Grade gold (g/tonne),5.02,5.41,5.11,5.68,5.40,4.57,4.44,4.41,4.15,3.80,4.15,4.38,4.19,4.13,4.48
,Actual,Indent,Kittila - Mill Recovery %,59.60%,75.49%,84.46%,88.32%,90.17%,83.59%,84.80%,85.70%,87.60%,84.50%,87.60%,86.80%,86.70%,84.70%,83.30%
,Actual,Indent,Kittila - Payable metal produced gold Oz,"71,838","126,205","143,560","175,878","146,421","141,742","177,374","202,508","196,938","188,979","186,101","208,125","239,240","216,947","234,402"
,Actual,Indent,Kittila - Payable metal sold gold oz,"59,361","129,639","145,006","170,478","148,561","139,766","178,936","202,702","197,702","187,871","184,440","211,025","230,570","226,366","230,060"
$,Thousand,Indent+Bold,Revenue from Kittila mine,"61,457","160,140","225,612","284,429","209,723","176,520","206,357","252,346","248,761","237,284","260,323","372,132","414,656","407,669","448,719"
,,Abstract bold color,Costs for Kittila Project, ,,,,,,,,,,,,,,
$,Thousand,Indent,Kittila -  Production costs,"42,464","87,740","110,477","98,037","98,446","116,893","126,095","141,871","148,272","157,032","142,517","169,884","192,742","210,661","205,857"
$,Thousand,,Cash Operating Profit,"18,993","72,400","115,135","186,392","111,277","59,627","80,262","110,475","100,489","80,252","117,806","202,248","221,914","197,008","242,862"
$,Thousand,Indent,Kittila - Amortization,"10,909","31,488","26,574","30,091","27,410","33,683","48,648","57,361","58,682","71,732","56,085","70,530","90,715","96,975","102,686"
$,Thousand,,Operating profit post amortization,"8,084","40,912","88,561","156,301","83,867","25,944","31,614","53,114","41,807","8,520","61,721","131,718","131,199","100,033","140,176"
,,Abstract Bold,Kittila -  Cost Reconciliation, ,,,,,,,,,,,,,,
$,Thousand,,Kittila -  Production costs,"42,464","87,740","110,477","98,037","80,287","116,893","126,095","141,871","148,272","157,032","142,517","169,884","192,742","210,661","205,857"
$,Thousand,Indent,Kittila - By-product metal revenues, ,252,152,391,281,-124,-155,-200,-192,-186,-238,-238,-249,-295,-358
$,Thousand,Indent,Kittila - Inventory and other adjustments,"1,565","-4,774","-1,267","1,564","4,561","3,051",-187,-26,213,"4,374","-5,314","-2,121","7,190","2,254","-1,379"
$,Thousand,Indent,Kittila - Non-cash reclamation provision,-254,-334,-206,-551,-435,,,,,,,,,,
