Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),, ,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),,,04/27/2023,04/25/2024
,,Abstract Bold Color,Environmental,, ,,
,,Abstract Bold,Environmental Stewardship,, ,,
,,Abstract Bold,Operational Sites Owned Leased Managed in or Adjacent to Protected Areas and Areas of High Biodiversity Value Outside Protected Areas, EM-MM-160a.3,"304-1, 304-2",,
,Actual,,Is the mine in or adjacent (< 5km) to protected or high biodiversity areas?,,,Yes,Yes
,Actual,,Does the mine have significant direct and indirect impacts on biodiversity? ,,,No,No
,Actual,,Does the mine have any designated land to protect or restore?,,,Yes,Yes
,Actual,,Total area (ha) of leased/owned site,, ,"2,274","2,480"
,Actual,,Site area (ha) physically disturbed by mine-related activity,, ,"1,735","1,881"
,Actual,,Site area (ha) currently undisturbed,, ,539,599
,,,,, ,,
,,Abstract Bold,Habitats Protected or Restored,,304-3,,
,Actual,,Total site area (ha) that will be rehabilitated at closure,, ,"1,705","1,881"
,Actual,,Site area (ha) rehabilitated during the reporting year,, ,0,0
,Actual,,Total size of land succesfully restored (ha),, ,0,0
,Actual,,Status of restoration,,,N/A,N/A
,Actual,,Do partnerships exist with third parties to protect or restore distinct habitat?,,,Yes,Yes
,Actual,,Does successful restoration require approval by independent external professionals?,,,Yes,Yes
,Actual,,Size of protected land (ha),, ,8,8
,,,,, ,,
,,Abstract Bold,Protected or High Biodiversity Areas,,304-1,,
,Actual,,Operation's position in relation to protected or high biodiverisity areas,,,Adjacent,Adjacent
,Actual,,Ecosystem of protected or high biodiveristy areas,,,Terrestrial,Terrestrial
,Actual,,Is the area protected under national legislation?,,,Yes,Yes
,Actual,,If applicable IIUCN protected area management category,,,N/A,N/A
,Actual,,Is the area protected under the ramsar convention?,,,No,No
,,,,, ,,
,,Abstract Bold,IUCN Red List Species and National Conservation List Species with Habitats in Areas Affected by Operations,EM-MM-160a.3,304-4,,
,Actual,,Total  IUCN red list species and national conservation list species,, ,352,343
,Actual,,Critically endangered,, ,1,1
,Actual,,Endangered,, ,3,3
,Actual,,Vulnerable,, ,18,18
,Actual,,Near threatened,, ,12,13
,Actual,,Least concerned,, ,311,301
,Actual,,Other,, ,7,7
,,,,, ,,
,,Abstract Bold,Cyanide Management, EM-MM-150a.9, ,,
,Actual,,Cyanide use (tonnes),, ,596,631
,Actual,,Total significant cyanide incidents that require reporting under applicable regulations1,, ,0,0
,Actual,,Cyanide releases off the mine site requiring response or remediation,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to health ,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to the environment,, ,0,0
,Actual,,Cyanide releases on or off the mine site requiring reporting under applicable regulations,, ,0,0
,Actual,,Releases cause applicable limits for cyanide to be exceeded,, ,0,0
,,,,, ,,
,,Abstract Bold,Environmental Fines & Sanctions,"EM-MM-140a.2, EM-MM-150a.9",2-27,,
,Actual,,Was the mine charged for non-compliance with environmental laws or regulations?,,,No,No
,Actual,,Amount of fines for non-compliance with environmental laws and regulations,,, -   ,N/A
,Actual,,Currency of fines for non-compliance with environmental laws and regulations,,,N/A,N/A
,Actual,,Were there actions against mine for non-compliance with envir. laws or regul.,,,No,No
,Actual,,Number of significant environmental incidents,,, -   , -   
,Actual,,  Number of significant spills ,,, -   , -   
,,,,, ,,
,,Abstract Bold,Energy,, ,,
,,Abstract Bold,Energy Consumption within the Organization,EM-MM-130a.1 ,302-1,,
,Actual,,Fuel consumption,, ,"362,253","364,498"
,Actual,,Diesel (GJ) ,, ,"335,258","337,981"
,Actual,,Biodiesel (GJ),, ,0,0
,Actual,,Light fuel & gasoline (GJ) ,, ,0,0
,Actual,,LPG (GJ) ,, ,0,0
,Actual,,Propane (GJ) ,, ,"18,759","17,517"
,Actual,,Lubricating oils & greases (GJ),, ,0,0
,Actual,,Natural gas (GJ) ,, ,0,0
,Actual,,Explosives (GJ),, ,"8,235","9,000"
,Actual,,Total electricity consumption (kWh),, ,"260,412,404","271,840,835"
,Actual,,Total electricity consumption (GJ),, ,"937,485","978,627"
,Actual,,Renewable electricity purchased from grid (kWh),, ,"25,911,034",0
,Actual,,Non-renewable electricity low carbon electricity purchased from grid (kWh),, ,"126,508,346","271,840,835"
,Actual,,Non-renewable electricity other purchased from grid (kWh),, ,"107,993,024",0
,Actual,,Non-renewable electricity generated on-site (kWh),, ,0,0
,Actual,,% Low carbon electricity purchased,, ,59%,100%
,Actual,,% Renewable electricy consumption,, ,10%,0%
,Actual,,% Non-renewable low carbon electricity purchased,, ,49%,100%
,Actual,,Total energy consumption (GJ),, ,"1,299,737","1,343,125"
,,,,, ,,
,,Abstract Bold,Energy Intensity,,302-3,,
,Actual,,Electricity intensity (per tonne of ore processed) (KWh/t),, ,135.3,139.1
,Actual,,Energy intensity (per tonne of ore processed) (GJ/t),, ,0.68,0.69
,,,,, ,,
,,Abstract Bold,Emissions,, ,,
