Currency,Unit,,Description,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract bold color,La India Mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Ore Stacked on Heap Leach ('000 tonnes),"1,018.9","1,137.5","1,190.1","1,426.7","1,378.5","1,359.5","1,193.9","1,439.5","1,396.3","1,534.5","1,366.1","1,540.5","1,401.8","1,329.0","1,541.5","1,691.9","1,695.4","1,555.7","1,425.9","1,450.5","1,451.3","1,444.6","1,101.9","1,404.6","1,533.9",775.6,"1,559.1","1,656.9","1,641.8","1,745.4","1,233.3","1,397.8","1,562.8","1,356.0","1,045.0","1,138.0",660.1,880.0,969.9,500.4, -   , -   , -   
,,Abstract Indent Bold,La India - Grade, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Indent,La India - Grade gold (g/tonne),0.97,1.17,0.83,0.97,1.00,0.96,1.03,0.84,0.84,0.76,0.78,0.87,0.74,0.65,0.69,0.70,0.74,0.65,0.79,0.73,0.67,0.66,0.77,0.65,0.74,0.65,0.72,0.55,0.43,0.46,0.62,0.76,0.57,0.52,0.72,0.57,0.68,0.74,1.10,0.92, -   , -   , -   
,Actual,Indent,La India - Grade silver (g/tonne),10.68,12.07,14.15,13.68,15.07,17.17,13.25,13.97,19.08,21.30,16.58,26.83,4.57,2.89,2.94,3.74,3.69,5.16,5.73,4.20,3.01,2.94,2.84,2.43,1.71,1.70,1.75,1.32,1.04,0.71,1.91,2.41,3.37,3.89,3.96,2.80,1.97,2.66,5.19,2.48, -   , -   , -   
,,Abstract Indent Bold,La India Heap Leach - Payable metals produced, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Indent,La India Heap Leach - Payable gold oz,"13,700","17,809","20,311","23,274","26,523","25,803","28,604","23,432","28,231","27,438","30,779","28,714","26,296","24,211","25,143","25,500","23,055","24,920","27,074","26,308","22,988","20,200","18,386","20,616","22,926","16,879","22,776","22,393","17,033","4,712","17,124","24,660","21,702","20,016","16,285","16,669","16,321","17,833","22,269","19,481","10,582","6,079","4,529"
,Thousand,Indent,La India Heap Leach - Payable silver oz ('000),27,40,44,67,69,72,67,55,117,105,126,138,128,74,60,51,45,37,44,54,46,33,27,27,20,17,14,14,16,7,6,19,28,23,15,11,14,17,16,19,18,11,4
,,Abstract Indent Bold,La India Heap Leach - Payable metals sold, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Indent,La India Heap Leach - Payable gold oz sold,"14,632","15,025","19,265","24,019","26,898","23,803","28,983","25,366","26,165","27,748","26,050","29,320","25,680","26,251","23,781","23,979","22,030","25,362","26,005","25,067","24,309","20,620","17,385","19,225","23,497","17,385","20,958","20,163","18,834","5,739","15,675","24,640","21,009","19,306","17,610","15,950","16,420","17,463","22,460","21,000","12,200","7,020","5,400"
,Actual,Indent,La India Heap Leach - Payable silver oz sold ('000),26,34,42,66,63,76,66,56,86,123,91,151,129,86,51,50,47,41,37,51,54,34,26,26,22,14,21,9,19,7,8,16,26,22,19,11,14,5,27,19,20,12,7
$,Thousand,Indent+Bold,Revenue from La India Mine,"19,479","20,013","24,183","29,837","33,055","29,625","33,313","28,687","32,464","36,819","36,049","37,198","33,483","34,045","31,075","31,346","29,792","33,619","31,662","31,445","31,679","27,455","26,295","28,847","38,978","30,207","40,514","37,600","34,414","10,854","27,927","44,680","40,035","36,432","30,888","27,864","31,213","34,318","43,926","42,026","25,618","16,552","13,733"
,,Abstract bold color,Cost for La India, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,La India - Production costs,"5,852","7,335","10,994","13,110","12,465","10,791","13,468","12,854","10,915","12,001","12,191","14,638","13,114","14,942","16,015","17,062","15,402","17,798","18,093","17,802","17,739","16,109","15,055","16,735","20,050","15,419","16,108","16,560","16,139","6,485","15,938","21,819","17,735","17,455","20,286","20,750","20,092","23,649","28,315","24,434","15,984","13,044","10,417"
$,Thousand,,Cash Operating Margin,"13,627","12,678","13,189","16,727","20,590","18,834","19,845","15,833","21,549","24,818","23,858","22,560","20,369","19,103","15,060","14,284","14,390","15,821","13,569","13,643","13,940","11,346","11,240","12,112","18,928","14,788","24,406","21,040","18,275","4,369","11,989","22,861","22,300","18,977","10,602","7,114","11,121","10,669","15,611","17,592","9,634","3,508","3,316"
$,Thousand,,Amortization for La India,"2,546","6,556","12,459","21,760","19,582","17,848","22,516","21,484","18,207","18,648","16,933","18,255","13,863","12,292","10,403","10,360","9,791","12,686","13,082","12,770","11,523","10,280","8,759","10,029","11,920","9,718","10,759","12,274","12,568","4,840","11,840","16,662","13,469","12,251","11,195","12,458","10,595","9,804","9,638","7,103","3,978","2,518","1,485"
$,Thousand,Bold,Operating profit post amortization,"11,081","6,122",730,"-5,033","1,008",986,"-2,671","-5,651","3,342","6,170","6,925","4,305","6,506","6,811","4,657","3,924","4,599","3,135",487,873,"2,417","1,066","2,481","2,083","7,008","5,070","13,647","8,766","5,707",-471,149,"6,199","8,831","6,726",-593,"-5,344",526,865,"5,973","10,489","5,656",990,"1,831"
,,Abstract Bold,La India - Cost Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,La India - Production costs,"5,852","7,335","10,994","13,110","12,465","10,791","13,468","12,854","10,915","12,001","12,191","14,638","13,114","14,942","16,015","17,062","15,402","17,798","18,093","17,802","17,739","16,109","15,055","16,735","20,050","15,419","16,108","16,560","16,139","6,485","15,938","21,819","17,735","17,455","20,286","20,750","20,092","23,649","28,315","24,434","15,984","13,044","10,417"
$,Thousand,,La India - By-product metal revenues,-520,-830,-746,"-1,055","-1,132","-1,179",-975,-772,"-1,796","-1,907","-2,526","-2,224","-2,280","-1,268","-1,022",-823,-754,-622,-606,-795,-759,-486,-526,-413,-332,-348,-441,-196,-562,-190,-112,-434,-708,-451,-240,-290,-315,-407,-395,-449,-502,-356,-133
$,Thousand,,La India - Inventory and other adjustments,-939,"1,677",869,-514,-245,963,-21,-725,"1,054",361,"2,632",142,686,-313,"1,528","1,057",742,39,"1,061","1,242",479,126,"1,501","2,060","-1,873","-1,006","1,180","1,840",362,67,799,-672,764,"1,741",-571,"2,363","1,577","1,452","-2,180","-1,600",-101,512,"2,724"
$,Thousand,,La India - Non-cash reclamation provision,-42,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,La India - Cash operating costs,"4,351","8,140","11,117","11,541","11,088","10,575","12,472","11,357","10,173","10,455","12,297","12,556","11,520","13,361","16,521","17,296","15,390","17,215","18,548","18,249","17,459","15,749","16,030","18,382","17,845","14,065","16,847","18,204","15,939","6,362","16,625","20,713","17,791","18,745","19,475","22,823","21,354","24,694","25,740","22,385","15,381","13,200","13,008"
$,Actual,Bold,La India - Total cash costs (Per ounce of commercial production),426,457,547,496,418,410,436,485,360,381,400,437,438,552,657,678,668,691,685,694,759,780,872,892,778,833,740,813,936,"1,350",971,840,820,936,"1,196","1,369","1,308","1,385","1,156","1,149","1,453","2,172","2,872"
