Currency,Unit,,Description,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,,,,,,,,,,
,,,Period Ended On (MM/DD/YYYY),06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,,,,,,,,,,
,,,Reported Date (MM/DD/YYYY),08/01/2009,10/28/2009,02/13/2010,04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,,,,,,,,,,
,,Abstract bold color,Lapa Mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Lapa - Ore milled ('000 tonnes),81,109,110,129,139,145,140,142,160,171,147,158,158,163,161,160,159,154,168,157,163,157,162,152,126,146,136,160,161,141,130,130,134,134,,17,109,116,69, -   ,,,,,,,,,,
,Actual,Indent,Lapa - Grade gold (g/tonne),6.58,7.03,8.08,9.72,8.13,7.45,7.89,7.07,6.84,6.38,6.23,7.22,6.90,5.74,6.09,6.68,5.64,5.86,6.07,5.63,4.66,6.12,5.97,6.17,5.45,6.17,5.45,5.00,5.20,4.26,3.90,4.25,4.05,4.41,,4.01,5.02,3.51,4.31, -   ,,,,,,,,,,
,Actual,Indent,Lapa - Mill recoveries %,70.82%,74.95%,80.11%,77.96%,78.88%,80.62%,82.68%,83.27%,80.79%,79.57%,80.15%,78.32%,79.79%,81.98%,78.49%,78.62%,79.91%,83.91%,80.60%,82.65%,77.09%,80.54%,82.51%,85.50%,87.30%,89.20%,83.40%,84.50%,81.90%,83.30%,85.90%,87.20%,90.60%,89.90%,,79.90%,84.70%,83.70%,79.90%, -   ,,,,,,,,,,
,Actual,Indent,Lapa - Payable metal produced gold Oz,"11,603","18,409","22,590","31,553","28,927","27,688","29,288","26,914","28,552","27,881","23,721","28,499","28,157","24,914","24,621","26,868","23,178","24,361","26,323","23,409","18,821","24,781","25,611","25,920","19,450","25,668","19,929","21,709","21,914","16,242","14,065","15,360","15,881","17,169", -   ,"1,722","14,533","10,464","7,307", -   ,,,,,,,,,,
,Actual,Indent,Lapa - Payable metal sold gold oz,"3,167","14,669","23,885","34,193","31,920","25,846","31,177","25,776","29,749","27,955","23,854","27,897","27,793","24,772","24,073","23,939","25,644","24,306","28,784","23,451","18,162","22,422","28,053","23,497","20,771","23,331","23,278","19,836","22,911","16,851","14,621","15,407","15,870","16,843","2,808",613,"13,286","6,335","11,640","3,777",,,,,,,,,,
$,Thousand,Indent+Bold,Revenue from Lapa mine,"2,984","14,156","26,269","37,652","38,034","32,062","43,169","35,929","45,070","45,967","40,570","46,334","44,672","42,510","40,237","38,398","34,737","32,522","35,510","30,690","23,406","27,635","33,521","28,672","25,007","26,092","25,014","23,590","29,228","22,347","16,995","19,092","19,951","21,889","3,640",817,"17,060","7,511","14,409","4,877",,,,,,,,,,
,,Abstract bold color, Costs for Lapa, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent, Lapa - Production costs,"3,818","11,404","18,250","16,379","17,830","14,298","17,692","16,751","17,333","17,681","16,834","18,657","18,450","16,787","19,482","16,610","18,094","16,663","18,165","15,453","14,643","13,887","17,463","13,985","13,656","12,279","12,652","12,784","14,791","12,166","13,233","12,887","11,762","12,064","2,073",528,"10,757","6,044","10,541","2,844",,,,,,,,,,
$,Thousand,,Cash Operating Profit,-834,"2,752","8,019","21,273","20,204","17,764","25,477","19,178","27,737","28,286","23,736","27,677","26,222","25,723","20,755","21,788","16,643","15,859","17,345","15,237","8,763","13,748","16,058","14,687","11,351","13,813","12,362","10,806","14,437","10,181","3,762","6,205","8,189","9,825","1,567",289,"6,303","1,467","3,868","2,033",,,,,,,,,,
$,Thousand,Indent,Lapa - Amortization,846,"4,812","4,248","6,522","8,765","7,888","8,811","8,449","9,927","10,217","9,003","10,412","10,622","9,758","11,424","9,398","11,331","11,012","12,290","6,309","5,619","6,291","7,793","7,253","7,503","7,739","8,445","8,008","9,567","7,671","5,669","1,200",256,224,57,17,94,56,101,30,,,,,,,,,,
$,Thousand,,Operating profit post amortization,"-1,680","-2,060","3,771","14,751","11,439","9,876","16,666","10,729","17,810","18,069","14,733","17,265","15,600","15,965","9,331","12,390","5,312","4,847","5,055","8,928","3,144","7,457","8,265","7,434","3,848","6,074","3,917","2,798","4,870","2,510","-1,907","5,005","7,933","9,601","1,510",272,"6,209","1,411","3,767","2,003",,,,,,,,,,
,,Abstract Bold,Lapa - Cost Reconciliation:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Lapa - Production costs,"3,818","11,404","18,250","16,379","17,830","14,298","17,692","16,751","17,333","17,681","16,834","18,657","18,450","16,787","19,482","16,610","18,094","16,663","18,165","15,453","14,643","13,887","17,463","13,985","13,656","12,279","12,652","12,784","14,791","12,166","13,233","12,887","11,762","12,064","2,073",528,"10,757","6,044","10,541","2,844",,,,,,,,,,
$,Thousand,Indent,Lapa - By-product metal revenues, ,,,,-7,-11,682,66,157,91,349,61,115,170,167,77,92,129,78,108,-1,-3,-55,-17,-1,-2,-42,-13,-4,-5,-6,-14,-80,-5,-13,-5,-4,-4,-13, -   ,,,,,,,,,,
$,Thousand,Indent,Lapa - Inventory and other adjustments,"7,191","3,033","-4,514",-926,"-2,038",-189,"-1,830",158,-366,556,283,-17,-685,"1,996","-1,365","1,610","-1,491",-645,-978,49,"1,307","1,141","-1,858",749,-459,"1,117",-247,"1,727",-375,-97,-82,242,-382,57,"-2,060","1,295",799,"5,066","-5,317","-2,844",,,,,,,,,,
$,Thousand,Indent,     Lapa - Non-cash reclamation provision,-7,-7,-12,-14,-14,-14,-14,-15,-15,-6,-312,236,-15,-15,-15,-17,-17,-17,-16,-17,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Lapa - Cash operating costs,"11,002","14,430","13,724","15,439","15,771","14,084","16,530","16,960","17,109","18,322","17,154","18,937","17,865","18,938","18,269","18,280","16,678","16,130","17,249","15,593","15,932","15,025","15,550","14,717","13,196","13,394","12,363","14,498","14,412","12,064","13,145","13,115","11,300","12,116", -   ,"1,818","11,552","11,106","5,211", -   ,,,,,,,,,,
$,Thousand,Indent+Bold,  Lapa - Total cash costs ( Per ounce of commercial production),948,784,608,489,545,509,564,630,599,657,723,664,634,760,742,680,720,662,655,666,847,606,607,568,678,522,620,668,658,743,935,854,712,706, -   ,"1,056",795,"1,061",713, -   ,,,,,,,,,,
C$,Thousand,Indent,Lapa - Minesite operating costs (C$),"12,145","15,414","16,262","15,832","16,347","15,131","16,053","16,640","16,289","18,322","17,152","18,657","17,968","18,799","18,142","18,445","17,398","16,672","18,106","17,126","17,382","16,310","17,636","18,077","15,919","16,614","15,076","19,481","18,627","15,880","17,533","17,320","15,253","15,237", -   ,"2,356","14,700","14,306","6,861", -   ,,,,,,,,,,
C$,Actual,Indent,Lapa - Minesite costs per tonne (C$),149,142,148,123,118,105,115,117,102,107,117,120,113,115,113,115,110,108,108,109,107,104,109,119,126,114,111,121,116,113,135,134,114,113, -   ,136,135,123,99, -   ,,,,,,,,,,
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,"1,092",974, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,"1,092",974, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
$,Thousand,,Capital Expenditures,"7,033","9,921","10,169","7,876","10,592","7,051","7,343","4,224","2,924","3,533","4,135","3,823","2,267","2,158","8,552","5,316","5,136","5,076","4,364","5,022","4,731","4,548","3,141","2,339","1,331",898,775,,,,,,,, -   , -   , -   , -   , -   , -   ,,,,,,,,,,
$,Thousand,,Capitalized Exploration,,,,,,,,779,"1,512",778,512,,,"1,114",561,97,"1,042",615,"1,092",189,557,491,"1,048",437,319,194,199,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract bold color Indent,Expense Breakdown By Major Categories, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,Labour,,,26%,25%,31%,39%,38%,42%,44%,43%,40%,44%,47%,45%,42%,45%,44%,42%,39%,47%,50%,51%,36%,42%,44%,41%,35%,41%,36%,40%,38%,38%,35%,33%,0%,32%,38%,35%,27%,63%,,,,,,,,,,
,Actual,, Contractors,,,38%,38%,36%,21%,20%,16%,17%,15%,16%,15%,14%,15%,17%,15%,15%,17%,16%,19%,23%,23%,16%,17%,19%,19%,18%,19%,18%,21%,21%,24%,25%,23%,0%,26%,34%,31%,24%,14%,,,,,,,,,,
,Actual,,Energy,,,7%,6%,5%,6%,7%,8%,7%,7%,8%,9%,6%,7%,8%,8%,8%,7%,9%,12%,10%,10%,8%,10%,8%,8%,8%,9%,7%,8%,9%,9%,8%,8%,0%,10%,12%,11%,9%,16%,,,,,,,,,,
,Actual,,Chemical,,,5%,3%,3%,4%,3%,3%,4%,5%,5%,5%,4%,4%,3%,4%,4%,5%,4%,5%,6%,6%,4%,4%,5%,5%,4%,5%,4%,5%,4%,4%,5%,5%,0%,2%,6%,6%,5%,0%,,,,,,,,,,
,Actual,,Consumables/Other,,,24%,28%,25%,30%,32%,31%,28%,30%,31%,27%,29%,29%,30%,28%,29%,29%,32%,17%,11%,10%,36%,27%,24%,27%,35%,26%,35%,26%,28%,25%,27%,31%,0%,30%,10%,17%,35%,7%,,,,,,,,,,
,Actual,Bold,Total,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,,,,,,,,,,
$,Thousand,,Depreciable Assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),948,784,608,489,545,509,564,630,599,657,723,664,634,760,742,680,720,662,655,666,847,606,607,568,678,522,620,668,658,743,935,854,712,706, -   ,"1,056",795,"1,061",713, -   ,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
