Currency,Unit,,Description,FY 09,FY 10,FY 11,FY 12,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,,,,,,,,,,
,,,Period Ended On (MM/DD/YYYY),12/31/2009,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,,,,,,,,,,
,,,Reported Date (MM/DD/YYYY),02/13/2010,02/13/2011,02/13/2012,03/26/2013,02/13/2014,02/13/2015,02/13/2016,02/17/2017,02/16/2018,02/19/2019,,,,,,,,,,
,,Abstract bold color,Lapa Mine, ,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Lapa - Ore milled ('000 tonnes),229,552,621,640,640,539,560,593,398,311,,,,,,,,,,
,Actual,Indent,Lapa - Grade gold (g/tonne),7.29,8.26,6.62,6.48,6.06,5.59,5.83,4.64,4.24,4.24,,,,,,,,,,
,Actual,Indent,Lapa - Mill recoveries %,76.03%,79.96%,80.79%,79.57%,80.67%,80.86%,86.50%,83.70%,89.30%,82.80%,,,,,,,,,,
,Actual,Indent,Lapa - Payable metal produced gold Oz,"52,602","117,456","107,068","106,191","100,730","92,622","90,967","73,930","48,613","34,026",,,,,,,,,,
,Actual,Indent,Lapa - Payable metal sold gold oz,"41,721","123,136","107,334","104,771","102,673","92,089","90,877","74,219","50,928","31,874",,,,,,,,,,
$,Thousand,Indent+Bold,Revenue from Lapa mine,"43,409","150,917","167,536","173,753","141,167","115,254","104,785","92,160","64,572","39,797",,,,,,,,,,
,,Abstract bold color, Costs for Lapa, ,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent, Lapa - Production costs,"33,472","66,199","68,599","73,376","69,532","61,056","52,571","52,974","38,786","27,870",,,,,,,,,,
$,Thousand,,Cash Operating Profit,"9,937","84,718","98,937","100,377","71,635","54,198","52,214","39,186","25,786","11,927",,,,,,,,,,
$,Thousand,Indent,Lapa - Amortization,"9,906","31,986","37,954","42,216","44,031","25,991","30,939","30,915","1,736",268,,,,,,,,,,
$,Thousand,,Operating profit post amortization,31,"52,732","60,983","58,161","27,604","28,207","21,275","8,271","24,050","11,659",,,,,,,,,,
,,Abstract Bold,Lapa - Cost Reconciliation:, ,,,,,,,,,,,,,,,,,,,
$,Thousand,,Lapa - Production costs,"33,472","66,199","68,599","73,376","69,532","61,056","52,571","52,974","38,786","27,870",,,,,,,,,,
$,Thousand,Indent,Lapa - By-product metal revenues, ,644,663,513,376,-61,-62,-28,-112,-26,,,,,,,,,,
$,Thousand,Indent,Lapa - Inventory and other adjustments,"6,072","-4,683",631,-71,"-1,504",750,"1,161","1,173","-2,143","1,843",,,,,,,,,,
$,Thousand,Indent,     Lapa - Non-cash reclamation provision,-25,-57,-348,191,-67,,,,,,,,,,,,,,,
$,Thousand,Indent,Lapa - Cash operating costs,"39,519","62,103","69,545","74,009","68,337","61,745","53,670","54,119","36,531","29,687",,,,,,,,,,
$,Thousand,Indent+Bold,  Lapa - Total cash costs ( Per ounce of commercial production),751,529,650,697,678,667,590,732,755,872,,,,,,,,,,
C$,Thousand,Indent,Lapa - Minesite operating costs (C$),"42,055","62,771","68,403","73,813","70,621","68,128","65,686","71,521","47,810","38,223",,,,,,,,,,
C$,Actual,Indent,Lapa - Minesite costs per tonne (C$),140,114,110,115,110,107,117,121,120,123,,,,,,,,,,
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,"6,491", -   , -   , -   ,,,,,,,,,,
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,"6,491", -   , -   , -   ,,,,,,,,,,
,,Abstract bold color Indent,Supplementary Data,,,,,,,,,,,,,,,,,,,, 
$,Thousand,,Capital Expenditures,"46,846","32,862","14,816","16,800","19,892","17,443","5,343", -   , -   , -   ,,,,,,,,,,
$,Thousand,,Capitalized Exploration,,,"3,581","1,675","2,846","2,755","1,148", -   ,,,,,,,,,,,,
,,Abstract bold color Indent,Expense Breakdown By Major Categories,,,,,,,,,,,,,,,,,,,,
,Actual,,Labour,,38%,42%,44%,42%,41%,41%,39%,39%,13%,,,,,,,,,,
,Actual,, Contractors,,20%,16%,15%,16%,18%,18%,20%,27%,12%,,,,,,,,,,
,Actual,,Energy,,7%,8%,8%,8%,9%,9%,8%,10%,5%,,,,,,,,,,
,Actual,,Chemical,,3%,4%,4%,4%,5%,5%,4%,4%,4%,,,,,,,,,,
,Actual,,Consumables/Other,,32%,30%,29%,30%,27%,27%,29%,20%,66%,,,,,,,,,,
,Actual,Bold,Total,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,
$,Thousand,,Depreciable Assets,,"167,810",,"155,710","129,988","66,063","41,123","8,922","8,496","7,549",,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),751,529,650,697,678,667,590,732,755,872,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
