Currency,Unit,,Description,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract bold color,Meadowbank Mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Meadowbank - Ore milled ('000 tonnes),198.3,569.8,636.5,631.1,628.7,667.2,866.1,815.7,887.1,901.0,"1,003.0","1,029.8","1,018.8","1,028.5","1,046.9","1,048.6",994.2,"1,051.0","1,057.3","1,026.7",990.5,"1,019.1",995.8,"1,027.5",945.5,993.5,961.4,"1,014.7",925.8,996.3,939.4,992.5,830.5,843.7,888.4,700.4,628.0,719.4,693.7,709.2,578.8,312.3,907.3,804.4,923.6,880.8,971.7,794.4,892.1,929.6,"1,031.0",923.4,982.8,844.9,"1,076.8",938.1,"1,070.6",990.3,"1,083.5"
,Actual,Indent,Meadowbank - Grade gold (g/tonne),3.62,4.46,4.81,3.96,3.26,2.96,2.99,2.89,2.98,3.59,3.66,2.49,2.70,2.99,4.15,3.83,5.09,3.68,2.88,2.84,3.01,3.01,3.32,3.31,2.58,2.48,2.57,3.14,3.11,3.26,3.16,2.94,2.53,2.41,2.56,2.80,2.28,1.81,2.36,2.95,2.86,1.81,2.79,2.89,2.94,3.29,3.13,2.93,2.26,3.49,4.11,3.48,3.91,3.79,3.76,3.97,4.09,4.36,4.19
,Actual,Indent,Meadowbank - Mill recovery Gold (%),84.5%,94.7%,94.9%,94.2%,93.4%,94.0%,94.0%,93.8%,93.6%,94.7%,93.8%,93.6%,92.5%,93.4%,95.5%,95.5%,96.1%,95.0%,93.4%,92.6%,92.2%,92.5%,93.6%,94.0%,92.3%,91.3%,91.4%,92.6%,92.2%,91.4%,90.8%,90.5%,91.0%,91.2%,93.4%,94.8%,94.2%,94.3%,92.7%,91.9%,92.4%,90.8%,92.0%,91.9%,92.2%,91.8%,91.5%,92.5%,92.4%,92.8%,90.6%,91.1%,90.2%,91.8%,89.8%,90.7%,90.9%,91.0%,91.5%
,Actual,Indent,Meadowbank - Payable metals Produced Gold Oz,"18,599","77,676","93,394","75,990","61,737","59,376","78,141","71,547","79,401","98,403","110,988","77,238","81,818","91,873","133,489","123,433","156,444","118,161","91,557","86,716","88,523","91,276","99,425","102,580","72,311","72,402","72,731","94,770","85,370","95,289","86,821","85,046","61,447","59,627","68,259","59,664","43,502","39,457","48,870","61,660","49,341","16,417","74,921","68,734","79,965","85,899","89,706","69,238","59,765","96,698","122,994","94,328","111,110","94,775","116,555","109,226","127,774","126,419","133,502"
,Thousand,Indent,Meadowbank - Payable metals Produced Silver 000's Oz,2,12,18,14,13,13,16,18,18,26,26,21,22,23,26,29,26,25,34,50,96,57,39,29,43,66,59,54,71,65,72,67,60,48,35,28,22,20,29,15,20,2,18,23,24,23,25,22,18,27,30,28,34,29,27,35,37,38,34
,Actual,Indent,Meadowbank - Payable metals Sold Gold Oz,"7,103","70,182","93,495","79,849","61,928","58,767","74,416","78,579","74,614","93,299","116,341","79,752","80,012","87,798","132,010","130,928","147,502","118,176","98,604","87,742","84,780","96,870","100,440","103,667","71,589","70,021","78,710","85,318","90,555","92,038","89,923","80,990","68,125","59,126","67,153","58,610","46,668","38,807","52,211","53,710","58,581","9,112","72,390","70,852","76,281","83,915","91,474","77,611","48,755","93,737","119,531","99,434","110,025","98,980","108,579","121,831","121,110","131,003","126,010"
,Thousand,Indent,Meadowbank - Payable metals Sold Silver 000's Oz, ,14,18,14,21,14,7,18,18,24,26,19,22,23,26,28,28,24,32,49,98,59,36,32,43,66,53,59,63,73,54,85,58,51,35,26,23,14,32,15,22,2,9,32,19,26,30,22,12,26,36,26,36,30,24,35,37,37,31
