Currency,Unit,,Description,FY 10,FY 11,FY 12,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
,,,Period Ended On (MM/DD/YYYY),12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022,12/31/2023
,,,Reported Date (MM/DD/YYYY),02/13/2011,02/13/2012,03/26/2013,02/13/2014,02/13/2015,02/13/2016,02/17/2017,02/16/2018,02/19/2019,02/18/2020,02/11/2021,02/23/2022,02/16/2023,02/15/2024
,,Abstract bold color,Meadowbank Mine, ,,,,,,,,,,,,,
,Thousand,Indent,Meadowbank - Ore milled ('000 tonnes),"2,035.7","2,977.7","3,820.9","4,142.8","4,129.1","4,032.9","3,915.1","3,853.0","3,262.0","2,750.3","2,602.8","3,570.5","3,739.4","3,842.6"
,Actual,Indent,Meadowbank - Grade gold (g/tonne),4.34,3.02,3.17,3.43,3.61,3.16,2.70,3.12,2.56,2.35,2.72,3.07,3.40,3.86
,Actual,Indent,Meadowbank - Mill recovery Gold (%),93.9%,93.9%,94.0%,94.4%,94.6%,93.1%,91.9%,91.2%,92.6%,93.1%,92.0%,91.9%,91.6%,90.6%
,Actual,Indent,Meadowbank - Payable metals Produced Gold Oz,"265,659","270,801","366,030","430,613","452,877","381,804","312,214","352,526","248,997","193,489","209,413","324,808","373,785","431,666"
,Thousand,Indent,Meadowbank - Payable metals Produced Silver 000's Oz,46,60,91,100,135,221,221,275,171,86,63,94,103,125
,Actual,Indent,Meadowbank - Payable metals Sold Gold Oz,"250,629","273,690","364,006","430,748","452,023","385,757","305,638","353,506","253,014","191,396","210,935","329,281","361,457","439,415"
,Thousand,Indent,Meadowbank - Payable metals Sold Silver 000's Oz,46,60,87,99,133,225,222,275,170,84,65,97,100,125
$,Thousand,Indent+Bold,Revenue from Meadowbank Mine,"318,351","434,051","609,625","591,473","575,856","446,898","384,023","449,025","323,142","221,652","366,743","589,769","645,021","858,209"
,,Abstract bold color,Costs for Meadowbank, ,,,,,,,,,,,,,
$,Thousand,Indent, Meadowbank - Production costs,"182,533","284,502","347,710","363,894","270,824","230,564","218,963","224,364","211,147","180,848","284,976","406,489","442,681","524,008"
$,Thousand,Indent,Cash Operating Profit,"135,818","149,549","261,915","227,579","305,032","216,334","165,060","224,661","111,995","40,804","81,767","183,280","202,340","334,201"
$,Thousand,Indent,Amortization for Meadowbank,"55,604","112,624","114,114","120,348","119,545","144,931","122,545","74,130","83,361","64,285","70,015","111,508","117,068","192,509"
$,Thousand,Indent,Operating profit post amortization,"80,214","36,925","147,801","107,231","185,487","71,403","42,515","150,531","28,634","-23,481","11,752","71,772","85,272","141,692"
,,Abstract Bold,Meadowbank - Cost Reconciliation, ,,,,,,,,,,,,,
$,Thousand,Indent,Meadowbank - Production costs,"182,533","284,502","347,710","363,894","270,824","230,564","218,963","224,364","211,147","180,848","284,976","406,489","442,681","524,008"
$,Thousand,Indent,Meadowbank - By-product metal revenues,-584,-546,"-1,651","-1,471","-2,420","-3,665","-3,837","-4,714","-2,685","-1,391","-1,342","-2,414","-2,127","-2,958"
$,Thousand,Indent,Meadowbank - Inventory and other adjustments,"6,911","-1,670","4,582","-5,471","2,688","7,282","8,105","-3,127","-5,769","2,859","-5,028","-16,299","11,714","-13,245"
$,Thousand,Indent,Meadowbank - Non-cash reclamation provision,"-1,315","-1,679","-1,611","-1,538",,,,,,,,,,
$,Actual,Indent,     Meadowbank - Stripping costs,"-4,321","-9,746","-14,806","-22,305",,,,,,,,,,
