Currency,Unit,,Description,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract bold color,Meliadine Mine, ,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Meliadine - Ore milled ('000 tonnes),259.6,311.8,325.7,306.7,336.8,381.6,370.2,415.0,417.7,419.7,462.0,431.9,449.1,400.6,475.3,476.5,460.7,469.7,511.2,496.3,420.8,532.5
,Actual,Indent,Meliadine - Grade gold (g/tonne),7.99,8.19,7.99,7.32,5.66,8.16,8.08,7.47,7.44,7.52,7.07,6.03,6.97,7.33,7.00,6.12,6.14,6.17,6.03,6.24,6.79,6.08
,Actual,Indent,Meliadine - Mill recoveries %,92.10%,95.50%,97.20%,97.10%,96.80%,96.80%,96.40%,96.70%,96.90%,96.30%,95.90%,95.90%,96.90%,96.90%,96.50%,96.50%,96.80%,96.30%,96.60%,96.30%,96.50%,96.70%
,Actual,Indent,Meliadine - Payable metal produced gold Oz,"61,112","78,093","81,607","69,975","59,375","96,757","92,782","96,126","96,694","97,024","101,843","80,704","97,572","91,201","103,397","90,467","87,682","89,707","96,285","95,725","88,675","99,838"
,Actual,Indent,Meliadine - Payable metal sold gold oz,"57,345","71,407","81,328","70,979","64,130","92,775","95,039","98,349","94,163","82,005","103,531","87,772","97,354","89,652","102,933","89,586","79,153","93,426","96,320","98,540","94,438","83,900"
$,Thousand,Indent+Bold, Revenue from Meliadine mine,"42,920","105,699","121,639","111,481","110,538","176,250","170,794","160,725","152,773","137,400","185,187","162,958","183,126","155,299","176,330","169,534","157,179","180,344","190,374","202,239","220,276","208,209"
,,Abstract bold color, Costs for Meliadine, ,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Meliadine - Production costs,"27,887","55,376","59,669","54,255","61,331","66,937","63,177","59,764","54,995","52,729","69,275","78,679","86,386","71,830","81,246","81,194","78,817","89,210","94,429","93,451","85,913","75,099"
$,Thousand,,Cash Operating Profit,"15,033","50,323","61,970","57,226","49,207","109,313","107,617","100,961","97,778","84,671","115,912","84,279","96,740","83,469","95,084","88,340","78,362","91,134","95,945","108,788","134,363","133,110"
