Currency,Unit,,Description,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),02/13/2010,04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
,,Abstract bold color,Pinos Altos Mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold+Indent,Mill, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Indent,Pinos Altos - Ore milled ('000 tonnes),171.4,232.6,325.3,355.4,414.2,402.8,428.7,456.2,453.1,452.0,458.3,455.9,471.1,472.5,457.1,502.1,488.8,484.4,501.7,463.7,502.9,509.5,532.7,497.1,454.5,448.8,515.1,498.2,519.9,511.2,499.3,522.3,490.2,473.5,491.7,466.6,513.2,478.2,483.7,486.1,455.3,434.9,206.6,495.8,521.4,485.3,520.5,444.6,441.8,383.9,365.9,378.4,382.1,364.4,400.8,450.1,441.2,426.1,453.6,446.2
,,Abstract Bold+Indent,Pinos Altos - Grade (at mill), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Indent,Pinos Altos - Grade gold (g/tonne),2.18,3.28,2.63,2.94,2.88,3.25,2.87,2.72,2.63,2.85,2.94,3.04,3.06,2.77,3.06,2.62,2.85,2.81,2.67,2.63,2.46,3.08,3.01,3.02,3.09,3.34,2.98,3.04,2.83,2.85,3.07,2.86,2.63,2.81,2.78,3.17,3.09,2.89,2.84,2.34,2.56,2.50,2.13,2.03,2.30,1.94,2.07,2.40,2.43,2.14,2.02,1.98,2.14,2.16,1.80,1.84,1.91,1.89,1.70,1.58
,Actual,Indent,Pinos Altos - Grade silver (g/tonne),52.08,71.58,59.52,63.69,66.70,63.01,61.04,66.04,72.29,73.63,79.89,85.92,89.42,88.15,86.58,79.82,75.71,73.76,65.66,71.99,64.60,80.33,75.62,78.15,86.47,88.56,79.39,79.13,73.58,78.39,81.12,74.49,70.88,70.37,65.19,73.80,67.30,68.18,64.50,55.89,51.09,60.75,52.23,50.74,43.45,46.74,42.43,46.60,45.93,43.34,39.95,43.86,39.65,43.48,42.93,46.84,51.24,47.94,47.21,49.88
,,Abstract Bold+Indent,Pinos Altos - Mill Recoveries, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Indent,Pinos Altos - Mill Recoveries Gold %,91.80%,93.67%,93.22%,93.44%,93.80%,93.96%,93.97%,93.27%,93.54%,93.76%,93.25%,94.32%,94.56%,94.68%,94.87%,94.65%,94.82%,94.60%,94.63%,94.44%,94.75%,95.20%,94.90%,95.10%,94.50%,94.30%,94.80%,95.40%,94.90%,94.40%,94.80%,94.20%,93.70%,93.70%,94.10%,95.10%,93.90%,94.60%,94.40%,94.50%,94.00%,92.80%,93.30%,93.80%,93.40%,93.50%,93.50%,94.20%,95.80%,95.80%,96.20%,96.00%,96.00%,95.60%,95.30%,95.60%,96.00%,95.50%,95.20%,94.50%
