Currency,Unit,,Description,FY 23,Q3 24
,,,Period Ended On (MM/DD/YYYY),12/31/2023,09/30/2024
,,,Reported Date (MM/DD/YYYY),02/15/2024,10/30/2024
,,Abstract bold color,Kittila Mine,,
,Thousand,Indent,Kittila -  Ore milled('000 tonnes),"1,954.2",543.7
,Actual,Indent,Kittila -  Grade gold (g/tonne),4.48,3.94
,Actual,Indent,Kittila - Mill Recovery %,83.30%,82.40%
,Actual,Indent,Kittila - Payable metal produced gold Oz,"234,402","56,715"
,Actual,Indent,Kittila - Payable metal sold gold oz,"230,060","59,464"
$,Thousand,Indent Bold,Revenue from Kittila mine,"448,719","148,652"
,,Abstract bold color,Costs for Kittila Project,,
$,Thousand,Indent,Kittila -  Production costs,"205,857","59,968"
$,Thousand,,Cash Operating Profit,"242,862","88,684"
$,Thousand,Indent,Kittila - Amortization,"102,686","34,486"
$,Thousand,,Operating profit post amortization,"140,176","54,198"
,,Abstract Bold,Kittila -  Cost Reconciliation,,
$,Thousand,,Kittila -  Production costs,"205,857","59,968"
$,Thousand,Indent,Kittila - By-product metal revenues,-358,-102
$,Thousand,Indent,Kittila - Inventory and other adjustments,"-1,379","-2,608"
$,Thousand,Indent,Kittila - Non-cash reclamation provision,,
$,Thousand,Indent,     Kittila - Stripping costs,,
$,Thousand,Indent,Kittila - Cash operating costs,"204,120","57,258"
$,Actual,Indent Bold,  Kittila - Total cash costs ( Per ounce of commercial production),871,"1,010"
€,Thousand,Indent,Kittila - Minesite operating costs (EUR),"193,135","52,050"
€,Actual,Indent,Kittila - Minesite costs per tonne (EUR) (of commercial prod.),99.00,96.00
,,Abstract bold color indent,Capital Expenditures,,
$,Thousand,,Total Capital Expenditures,"73,765","19,799"
$,Thousand,,Total Sustaining Capital Expenditures,"47,355","17,853"
,,Abstract bold color indent,Supplementary Data,,
$,Thousand,,Capital Expenditures,"73,765","18,312"
$,Thousand,,Capitalized Exploration,"7,237","1,487"
,,Abstract bold color indent,Expense Breakdown By Major Categories,,
,Actual,,Labour,19%,19%
,Actual,, Contractors,27%,27%
,Actual,,Energy,10%,9%
,Actual,,Chemical,12%,12%
,Actual,,Consumables/Other,32%,33%
,Actual,Bold,Total,100%,100%
$,Thousand,,Depreciable Assets,"1,354,499",
$,Actual,,Total Cash Costs (US$/oz),871,"1,010"
