Currency,Unit,,Description,FY 23,Q3 24
,,,Period Ended On (MM/DD/YYYY),12/31/2023,09/30/2024
,,,Reported Date (MM/DD/YYYY),02/15/2024,10/30/2024
,,Abstract bold color,La India Mine,,
,Thousand,Indent,Ore Stacked on Heap Leach ('000 tonnes),"3,009.9", -   
,,Abstract Indent Bold,La India - Grade,,
,Actual,Indent,La India - Grade gold (g/tonne),0.87, -   
,Actual,Indent,La India - Grade silver (g/tonne),3.60, -   
,,Abstract Indent Bold,La India Heap Leach - Payable metals produced,,
,Actual,Indent,La India Heap Leach - Payable gold oz,"75,904","4,529"
,Thousand,Indent,La India Heap Leach - Payable silver oz ('000),66,4
,,Abstract Indent Bold,La India Heap Leach - Payable metals sold,,
,Actual,Indent,La India Heap Leach - Payable gold oz sold,"77,343","5,400"
,Actual,Indent,La India Heap Leach - Payable silver oz sold ('000),65,7
$,Thousand,Indent Bold,Revenue from La India Mine,"151,483","13,733"
,,Abstract bold color,Cost for La India,,
$,Thousand,,La India - Production costs,"96,490","10,417"
$,Thousand,,Cash Operating Margin,"54,993","3,316"
$,Thousand,,Amortization for La India,"37,140","1,485"
$,Thousand,Bold,Operating profit post amortization,"17,853","1,831"
,,Abstract Bold,La India - Cost Reconciliation,,
$,Thousand,,La India - Production costs,"96,490","10,417"
$,Thousand,,La India - By-product metal revenues,"-1,566",-133
$,Thousand,,La India - Inventory and other adjustments,-751,"2,724"
$,Thousand,,La India - Non-cash reclamation provision,,
$,Thousand,,La India - Cash operating costs,"94,173","13,008"
$,Actual,Bold,La India - Total cash costs (Per ounce of commercial production),"1,241","2,872"
$,Thousand,,La India - Minesite operating costs (USD$),"95,155", -   
$,Actual,,La India - Minesite costs per tonne (USD$),32, -   
,,Abstract bold color indent,Capital Expenditures,,
$,Thousand,,Total Capital Expenditures,100, -   
$,Thousand,,Total Sustaining Capital Expenditures,100, -   
,,Abstract bold color indent,Supplementary Data,,
$,Thousand,,Capital Expenditures,100, -   
$,Thousand,,Capitalized Exploration, -   , -   
,,Abstract bold color indent,Expense Breakdown By Major Categories,,
,Actual,,Labour,20%,20%
,Actual,, Contractors,8%,10%
,Actual,,Energy,20%,21%
,Actual,,Chemical,18%,30%
,Actual,,Consumables/Other,34%,19%
,Actual,Bold,Total,100%,100%
$,Thousand,,Depreciable Assets,"28,830",
$,Actual,,Total Cash Costs (US$/oz),"1,241","2,872"
,,,,,
,,,,,
,,,,,
