Currency,Unit,,Description,FY 23,Q3 24
,,,Period Ended On (MM/DD/YYYY),12/31/2023,09/30/2024
,,,Reported Date (MM/DD/YYYY),02/15/2024,10/30/2024
,,Abstract bold color,Pinos Altos Mine,,
,,Abstract bold Indent,Mill,,
,Thousand,Indent,Pinos Altos - Ore milled ('000 tonnes),"1,656.5",446.2
,,Abstract bold Indent,Pinos Altos - Grade (at mill),,
,Actual,Indent,Pinos Altos - Grade gold (g/tonne),1.92,1.58
,Actual,Indent,Pinos Altos - Grade silver (g/tonne),46.45,49.88
,,Abstract bold Indent,Pinos Altos - Mill Recoveries,,
,Actual,Indent,Pinos Altos - Mill Recoveries Gold %,95.60%,94.50%
,Actual,Indent,Pinos Altos - Mill Recoveries Silver %,46.60%,47.70%
,Actual,,Pinos Altos- Payable metals Produced,,
,Actual,,Pinos Altos - Payable metals Produced Gold Oz (mill),"97,642","21,371"
,Thousand,,Pinos Altos - Payable metals Produced Silver Oz ('000) (mill),"1,153",341
,,Abstract bold,Pinos Altos Heap Leach,,
,Thousand,,Ore Stacked on Heap Leach ('000 tonnes), -   , -   
,Actual,,Pinos Altos Heap Leach - Grade,,
,Actual,,Pinos Altos Heap Leach - Grade gold (g/tonne), -   , -   
,Actual,,Pinos Altos Heap Leach - Grade silver (g/tonne), -   , -   
,Actual,,Pinos Altos Heap Leach - Payable metals Produced,,
,Actual,,Pinos Altos Heap Leach - Payable metals Produced Gold Oz, -   , -   
,Thousand,,Pinos Altos Heap Leach - Payable metals Produced Silver Oz ('000), -   , -   
,,Abstract bold color,Creston Mascota Heap Leach,,
,Thousand,,Ore Stacked on Heap Leach ('000 tonnes), -   , -   
,Actual,,Creston Mascota Heap Leach - Grade,,
,Actual,,Creston Mascota Heap Leach - Grade gold (g/tonne), -   , -   
,Actual,,Creston Mascota Heap Leach - Grade silver (g/tonne), -   , -   
,Actual,,Creston Mascota Mill - Payable metals Produced,,
,Actual,,Creston Mascota Heap Leach - Payable metals Produced Gold Oz,638,9
,Thousand,,Creston Mascota Heap Leach - Payable metals Produced Silver Oz ('000),1, -   
,,Abstract bold color,Pinos Altos & Creston Mascota - Payable metals Produced,,
,Actual,Indent,Pinos Altos - Payable metals Produced Gold Oz (mill & heap leach),"97,642","21,371"
,Thousand,Indent,Pinos Altos - Payable metals Produced Silver Oz ('000) (mill & heap leach),"1,153",341
,Actual,,Creston Mascota - Payable metals Produced Gold Oz (heap leach),638,9
,Thousand,,Creston Mascota - Payable metals Produced Silver Oz ('000) (heap leach),1, -   
,,Abstract bold color,Pinos Altos & Creston Mascota - Payable metals Sold,,
,Actual,Indent,Pinos Altos - Payable metals Sold Gold Oz,"96,134","23,700"
,Thousand,Indent,Pinos Altos - Payable metals Sold Silver Oz ('000),"1,123",315
,Actual,,Creston Mascota - Payable metals Sold Gold Oz, -   , -   
,Thousand,,Creston Mascota - Payable metals Sold Silver Oz ('000), -   , -   
,,, ,,
$,Thousand,,Revenue from Pinos Altos Mine,"212,876","68,336"
$,Thousand,,Revenue from Creston Mascota Mine, -   , -   
$,Thousand,bold,Revenue from Pinos Altos & Creston Mascota,"212,876","68,336"
,,Abstract bold color,Costs for Pinos Altos (combined with Creston Mascota - historical),,
